bgg_id,page_views,rank,af,af_rank,als,als_rank,am,am_rank,an,an_rank,ang,ang_rank,ar,ar_rank,arc,arc_rank,arz,arz_rank,ast,ast_rank,az,az_rank,azb,azb_rank,ba,ba_rank,bar,bar_rank,bcl,bcl_rank,be,be_rank,bg,bg_rank,bh,bh_rank,bjn,bjn_rank,bn,bn_rank,bo,bo_rank,br,br_rank,bs,bs_rank,bxr,bxr_rank,ca,ca_rank,cdo,cdo_rank,ce,ce_rank,ckb,ckb_rank,cs,cs_rank,cv,cv_rank,cy,cy_rank,da,da_rank,de,de_rank,diq,diq_rank,dsb,dsb_rank,dv,dv_rank,el,el_rank,eml,eml_rank,en,en_rank,eo,eo_rank,es,es_rank,et,et_rank,eu,eu_rank,fa,fa_rank,fi,fi_rank,fj,fj_rank,fo,fo_rank,fr,fr_rank,frp,frp_rank,frr,frr_rank,fy,fy_rank,ga,ga_rank,gan,gan_rank,gcr,gcr_rank,gd,gd_rank,gl,gl_rank,gu,gu_rank,hak,hak_rank,haw,haw_rank,he,he_rank,hi,hi_rank,hif,hif_rank,hr,hr_rank,hsb,hsb_rank,ht,ht_rank,hu,hu_rank,hy,hy_rank,hyw,hyw_rank,ia,ia_rank,id,id_rank,ie,ie_rank,ilo,ilo_rank,io,io_rank,is,is_rank,it,it_rank,ja,ja_rank,jam,jam_rank,jbo,jbo_rank,jv,jv_rank,ka,ka_rank,kk,kk_rank,kn,kn_rank,ko,ko_rank,ku,ku_rank,kw,kw_rank,ky,ky_rank,la,la_rank,lb,lb_rank,lez,lez_rank,lfn,lfn_rank,li,li_rank,lt,lt_rank,lv,lv_rank,mai,mai_rank,mg,mg_rank,min,min_rank,mk,mk_rank,ml,ml_rank,mn,mn_rank,mr,mr_rank,ms,ms_rank,mwl,mwl_rank,my,my_rank,nah,nah_rank,nds,nds_rank,ne,ne_rank,new,new_rank,nl,nl_rank,nn,nn_rank,no,no_rank,nov,nov_rank,nrm,nrm_rank,nso,nso_rank,oc,oc_rank,olo,olo_rank,or,or_rank,os,os_rank,pa,pa_rank,pcd,pcd_rank,pih,pih_rank,pl,pl_rank,pnb,pnb_rank,ps,ps_rank,pt,pt_rank,qu,qu_rank,rm,rm_rank,ro,ro_rank,ru,ru_rank,rue,rue_rank,sa,sa_rank,sah,sah_rank,sat,sat_rank,sc,sc_rank,scn,scn_rank,sco,sco_rank,se,se_rank,sh,sh_rank,si,si_rank,sk,sk_rank,sl,sl_rank,so,so_rank,sq,sq_rank,sr,sr_rank,stq,stq_rank,su,su_rank,sv,sv_rank,sw,sw_rank,szl,szl_rank,ta,ta_rank,tcy,tcy_rank,te,te_rank,tg,tg_rank,th,th_rank,tk,tk_rank,tl,tl_rank,tr,tr_rank,tt,tt_rank,tyv,tyv_rank,uk,uk_rank,ur,ur_rank,uz,uz_rank,vec,vec_rank,vep,vep_rank,vi,vi_rank,vls,vls_rank,vo,vo_rank,wa,wa_rank,war,war_rank,wo,wo_rank,wuu,wuu_rank,xal,xal_rank,xh,xh_rank,xmf,xmf_rank,yi,yi_rank,za,za_rank,zh,zh_rank
2093,37591,11,,,,,,,,,,,111,15,,,,,,,20,4,,,,,,,,,,,78,13,,,,,10,6,9,2,,,,,,,46,22,7,2,,,,,163,20,,,,,70,17,1476,31,,,,,,,,,,,15401,11,16,4,2076,19,,,,,116,15,145,25,,,,,1332,24,,,,,,,,,11,2,,,,,,,,,7,2,,,107,25,18,7,,,97,12,,,,,142,18,13,7,,,,,149,11,,,,,,,,,1192,19,5271,2,,,15,3,9,5,,,1,4,,,141,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,36,7,,,,,,,,,,,,,454,25,,,65,23,,,,,,,,,,,,,,,,,,,,,476,21,,,,,847,13,,,,,,,1577,14,,,,,10,2,,,,,,,,,,,,,,,62,11,15,15,,,,,,,14,2,,,183,16,,,14,2,,,,,,,,,400,4,,,,,140,14,,,,,64,15,,,,,,,,,771,5,,,,,,,,,,,17,2,,,,,,,,,18,1,4179,2
28,36800,12,,,,,,,,,,,542,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,930,51,,,,,,,,,,,9574,24,,,8143,6,,,,,,,26,56,,,,,689,48,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,210,10,,,,,,,,,1058,23,13669,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1308,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32,53,,,,,,,,,,,,,,,,,,,619,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,36535,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,154,4,,,,,,,208,16,,,5,8,47,25,3347,15,,,,,,,138,9,,,16449,10,4,31,3992,13,,,7,6,,,74,36,,,8,2,1538,20,,,,,,,,,,,,,3,4,,,,,,,,,2906,1,,,,,,,,,,,247,13,,,13,1,,,,,,,,,,,,,612,32,1141,13,,,,,,,,,,,,,113,11,,,,,,,,,,,,,,,,,,,16,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1976,6,21,2,133,17,,,,,,,,,,,,,,,,,,,,,464,22,,,,,561,15,,,,,66,10,1407,15,,,,,,,,,,,,,,,,,,,,,29,14,73,9,,,,,130,9,,,,,196,15,,,,,,,,,,,,,,,,,,,44,24,,,,,,,,,,,,,,,30,20,,,,,,,,,,,,,,,,,,,,,,,383,22
2162,36514,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,6,,,,,23,31,,,,,,,218,14,,,,,28,29,1941,24,,,,,,,,,,,20051,6,,,1073,30,,,,,,,215,20,,,,,1415,23,,,,,4,5,,,,,,,,,,,,,,,,,30,45,,,,,,,,,,,215,14,,,,,,,11,18,,,,,,,9,7,993,25,186,42,,,,,,,5,4,,,,,80,18,,,,,,,,,,,,,,,,,32,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,161,46,14,5,,,,,,,,,,,,,,,,,,,,,,,834,15,,,,,280,25,,,,,17,12,6651,5,,,,,,,,,,,,,,,,,9,9,,,,,10,16,,,,,24,15,,,,,238,12,,,,,,,,,,,,,,,,,,,29,28,,,,,169,7,,,,,,,,,108,12,,,,,,,,,,,,,,,,,,,,,,,1434,9
181,34928,15,16,3,,,,,,,,,626,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50,20,,,,,,,,,,,,,176,8,3400,14,,,,,,,,,,,18010,9,,,4101,12,,,3,17,,,87,32,,,,,2468,13,,,,,,,,,,,,,,,,,,,,,,,342,13,,,,,970,2,,,,,117,20,,,,,,,,,,,,,,,,,488,40,214,39,,,,,,,,,,,,,,,,,,,,,6,8,,,,,,,,,43,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,747,19,,,156,15,,,,,,,,,,,,,,,,,,,,,320,26,,,,,384,20,,,,,,,735,24,,,,,,,,,,,,,,,,,893,2,,,,,,,,,,,,,,,,,208,14,,,,,,,,,,,,,18,15,,,,,82,15,,,,,59,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,209,27
2136,33627,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,656,5,,,,,,,,,,,,,,,,,,,,,,,856,3,,,,,,,6184,5,,,,,,,,,,,10309,21,10,10,1344,27,,,,,3698,3,,,,,,,1057,34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,771,6,,,,,491,7,26,6,,,,,,,,,,,,,,,1153,20,,,,,,,,,,,,,,,19,45,,,,,,,,,,,,,,,,,,,,,,,,,,,52,3,,,,,,,,,,,,,,,,,,,,,2303,5,,,,,,,,,,,,,,,,,,,,,,,,,2831,5,,,,,,,,,,,,,120,67,,,,,,,,,,,,,,,,,30,6,,,362,2,,,,,7,2,,,6,3,,,339,10,,,,,,,,,,,,,,,,,,,911,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,92,42
2181,31778,17,,,,,,,,,,,144,13,,,,,,,,,,,13,2,,,,,,,320,7,,,,,,,,,,,,,,,51,19,,,,,,,204,17,,,,,192,7,2200,20,,,,,,,320,6,,,9501,25,15,6,2410,17,219,2,7,7,,,234,15,,,,,1523,21,,,,,,,,,,,,,,,,,,,,,,,314,14,,,,,225,11,,,,,363,10,,,,,,,302,7,,,,,,,22,4,1470,15,880,16,,,,,,,107,3,,,,,20,43,,,,,,,,,,,,,,,10,3,38,11,54,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,964,12,18,4,168,14,,,,,,,,,,,,,,,,,,,,,1666,9,,,,,414,18,,,,,239,7,2926,9,,,,,,,,,,,26,2,,,,,54,5,,,86,10,53,10,,,,,103,10,21,1,,,1617,1,,,,,,,,,,,,,132,6,,,,,256,11,,,,,252,6,40,2,,,,,,,,,,,,,,,,,,,11,7,,,,,,,,,,,1574,8
29351,30501,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16,2,,,,,,,,,,,,,,,,,,,,,,,,,183,18,,,,,,,3564,12,,,,,,,,,,,4856,45,,,596,44,161,3,,,,,109,29,,,,,696,46,,,,,,,,,,,,,,,,,,,,,,,640,7,,,,,,,,,,,36,36,32,5,,,,,,,,,,,,,,,,,137,50,,,,,,,,,,,,,13,61,,,,,,,,,,,,,,,,,409,2,131,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,198,40,,,,,,,,,,,,,,,,,,,,,,,,,1698,8,,,,,,,,,,,,,15119,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,33,52,,,,,,,,,,,,,,,,,,,,,,,,,993,1,,,,,,,,,789,4,,,,,,,,,,,,,,,,,,,,,,,92,43
1294,28738,19,,,,,,,,,,,101,16,,,,,6,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,56,16,,,,,,,,,,,,,90,13,1988,22,,,,,,,,,,,14807,13,6,22,1938,21,,,9,5,177,13,235,14,,,,,4101,8,,,,,,,,,,,,,,,10,4,,,,,,,271,15,,,,,,,,,,,208,15,,,,,,,34,15,,,,,7,3,,,2017,9,,,,,,,,,,,,,,,293,4,,,,,,,,,,,,,,,,,,,29,11,,,,,,,,,,,,,,,10,10,,,,,,,,,,,,,779,17,,,105,19,,,,,,,4,8,,,,,,,,,,,,,66,48,,,,,,,,,,,,,849,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,73,12,,,,,224,13,,,,,,,,,,,,,29,11,,,,,36,26,,,,,24,28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,156,31
3886,27321,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1153,2,,,,,,,,,,,,,,,28,27,,,,,,,389,8,,,,,73,16,6020,6,,,,,,,,,,,4238,50,7,16,1369,26,48,7,4,16,824,6,225,18,,,,,1053,36,,,,,6,4,,,,,,,,,,,,,,,,,39,41,,,,,,,,,,,1177,2,,,,,,,,,,,,,,,,,2682,8,218,37,,,,,,,,,,,,,21,40,,,,,,,,,21,2,,,14,3,8,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,188,43,5,12,171,13,,,,,,,,,,,,,,,,,,,,,636,18,,,,,1222,8,,,,,920,3,379,37,,,,,,,,,,,,,,,,,,,,,132,8,40,11,,,,,3391,2,,,,,104,23,,,,,,,,,,,,,,,,,,,447,9,4,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,65,53
