,rank,bgg_id,page_views,af,af_rank,als,als_rank,am,am_rank,an,an_rank,ang,ang_rank,ar,ar_rank,arc,arc_rank,arz,arz_rank,ast,ast_rank,az,az_rank,ba,ba_rank,bar,bar_rank,be,be_rank,bg,bg_rank,bh,bh_rank,bjn,bjn_rank,bn,bn_rank,bo,bo_rank,br,br_rank,bs,bs_rank,bxr,bxr_rank,ca,ca_rank,cdo,cdo_rank,ce,ce_rank,ckb,ckb_rank,cs,cs_rank,cv,cv_rank,cy,cy_rank,da,da_rank,de,de_rank,dsb,dsb_rank,dv,dv_rank,el,el_rank,eml,eml_rank,en,en_rank,eo,eo_rank,es,es_rank,et,et_rank,eu,eu_rank,fa,fa_rank,fi,fi_rank,fo,fo_rank,fr,fr_rank,frp,frp_rank,frr,frr_rank,fy,fy_rank,ga,ga_rank,gan,gan_rank,gd,gd_rank,gl,gl_rank,gu,gu_rank,hak,hak_rank,he,he_rank,hi,hi_rank,hif,hif_rank,hr,hr_rank,hsb,hsb_rank,ht,ht_rank,hu,hu_rank,hy,hy_rank,ia,ia_rank,id,id_rank,ie,ie_rank,ilo,ilo_rank,io,io_rank,is,is_rank,it,it_rank,ja,ja_rank,jam,jam_rank,jbo,jbo_rank,jv,jv_rank,ka,ka_rank,kk,kk_rank,kn,kn_rank,ko,ko_rank,ku,ku_rank,ky,ky_rank,la,la_rank,lb,lb_rank,lez,lez_rank,li,li_rank,lt,lt_rank,lv,lv_rank,mg,mg_rank,min,min_rank,mk,mk_rank,ml,ml_rank,mn,mn_rank,mr,mr_rank,ms,ms_rank,mwl,mwl_rank,my,my_rank,nah,nah_rank,nds,nds_rank,ne,ne_rank,new,new_rank,nl,nl_rank,nn,nn_rank,no,no_rank,nrm,nrm_rank,nso,nso_rank,oc,oc_rank,olo,olo_rank,or,or_rank,os,os_rank,pa,pa_rank,pcd,pcd_rank,pl,pl_rank,pnb,pnb_rank,ps,ps_rank,pt,pt_rank,qu,qu_rank,ro,ro_rank,ru,ru_rank,rue,rue_rank,sa,sa_rank,sah,sah_rank,scn,scn_rank,sco,sco_rank,se,se_rank,sh,sh_rank,si,si_rank,sk,sk_rank,sl,sl_rank,so,so_rank,sq,sq_rank,sr,sr_rank,stq,stq_rank,su,su_rank,sv,sv_rank,sw,sw_rank,szl,szl_rank,ta,ta_rank,tcy,tcy_rank,te,te_rank,th,th_rank,tk,tk_rank,tl,tl_rank,tr,tr_rank,tt,tt_rank,tyv,tyv_rank,uk,uk_rank,ur,ur_rank,uz,uz_rank,vec,vec_rank,vep,vep_rank,vi,vi_rank,vls,vls_rank,vo,vo_rank,wa,wa_rank,war,war_rank,wo,wo_rank,wuu,wuu_rank,xal,xal_rank,xh,xh_rank,yi,yi_rank,za,za_rank,zh,zh_rank
10,11,463,25269,,,11,3,,,,,,,,,,,,,,,5,5,,,,,,,27,15,,,,,,,,,8,3,,,,,26,18,,,,,,,272,5,,,,,51,16,2299,14,,,,,,,,,12096,6,5,22,,,12,15,6,9,,,122,17,,,,,,,,,,,,,,,,,,,,,,,74,21,,,,,35,14,,,,,76,23,,,,,62,11,,,,,,,,,917,8,2956,4,,,,,,,,,,,,,45,14,,,,,7,5,,,,,,,17,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,382,14,5,13,45,26,,,,,,,,,,,,,,,,,420,15,,,,,1193,3,,,,,1954,10,,,,,,,,,,,,,,,,,,,14,12,,,,,19,9,,,,,139,17,,,,,,,,,,,58,8,,,,,65,21,,,,,56,12,,,,,,,,,24,11,,,,,,,,,,,,,,,,,,,,,1766,5
11,12,2243,20515,,,,,,,,,,,,,,,,,,,,,,,,,,,28,14,,,,,,,,,,,,,,,8,46,,,,,,,,,,,,,,,6750,1,,,,,,,,,6421,16,,,,,,,,,,,,,,,1809,8,,,,,,,,,,,,,,,,,,,,,,,,,103,8,,,,,154,14,,,,,,,,,,,,,,,584,18,138,42,,,,,,,,,,,,,24,28,,,,,,,,,,,,,68,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,861,5,,,,,,,,,,,,,,,,,,,,,1438,4,,,,,709,6,,,32,10,873,18,,,,,,,7,3,,,,,,,,,,,69,5,,,,,400,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,39,61
12,13,2425,18912,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16,3,,,,,,,18,26,,,,,,,50,16,,,,,79,12,1084,26,,,,,,,,,4975,20,8,11,1097,18,,,6,10,94,9,185,7,,,4187,3,,,,,,,,,,,,,,,,,,,111,18,,,,,,,,,,,148,16,,,,,,,,,,,,,,,624,15,672,17,,,,,,,,,,,,,12,37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,247,20,,,,,,,,,,,,,,,,,,,,,295,22,,,,,563,9,,,182,3,3699,4,,,,,,,,,,,,,,,,,56,8,,,,,,,,,,,,,105,22,,,,,9,6,,,,,,,,,,,,,,,,,96,9,,,,,,,,,22,12,,,,,,,,,,,,,,,,,,,,,272,20
13,14,181,17441,10,4,,,,,,,,,234,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14,31,,,,,,,,,,,,,126,8,2302,13,,,,,,,,,9112,11,,,1681,11,,,6,8,,,78,27,,,726,21,,,,,,,,,,,,,,,,,,,134,13,,,,,254,4,,,,,116,18,,,,,,,,,,,,,,,171,48,145,40,,,,,,,,,,,,,,,,,,,3,8,,,,,,,33,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,351,16,,,59,20,,,,,,,,,,,,,,,,,236,27,,,,,163,26,,,,,754,20,,,,,,,,,,,,,126,3,,,,,,,,,,,,,,,,,227,9,,,,,,,,,,,18,13,,,,,143,14,,,,,26,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,193,25
14,15,320,15925,,,,,,,,,,,132,9,,,,,,,,,,,,,,,115,8,,,,,,,,,7,4,,,,,38,9,,,,,,,56,15,,,5,5,31,26,1269,21,,,,,128,6,,,6396,17,15,4,1349,14,20,11,,,19,15,161,8,,,1294,11,,,,,,,7,3,,,2,3,,,6,4,,,56,24,69,4,,,,,,,,,228,8,,,,,355,4,,,,,,,4,7,199,42,397,23,,,,,6,4,,,,,30,2,47,13,,,,,2,9,,,,,,,36,9,,,,,,,,,11,6,,,,,118,3,,,,,,,,,,,,,627,10,19,2,56,21,,,,,,,,,,,,,,,,,604,11,,,,,174,24,,,111,8,916,17,,,,,,,,,7,3,,,,,,,47,9,75,4,,,,,,,,,,,71,27,,,,,3,8,,,2,4,29,10,,,,,170,12,,,6,1,62,11,,,,,,,,,40,10,,,,,,,,,,,,,,,,,,,,,298,18
15,16,13,15515,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,34,12,,,,,,,89,14,,,4,7,45,19,1375,20,,,,,17,11,,,7080,14,4,29,1428,13,,,3,15,,,,,9,2,552,27,,,,,,,,,,,,,,,,,,,659,3,,,,,,,,,,,183,12,,,,,,,,,,,,,,,362,29,1368,11,,,,,,,,,,,,,64,11,,,,,,,,,,,,,,,6,9,,,,,,,,,,,,,,,,,,,,,,,,,,,7,119,9,10,47,25,,,,,,,,,,,,,,,,,276,24,,,,,255,16,,,44,9,920,16,,,,,,,,,,,,,,,,,15,14,21,9,,,,,57,5,,,,,140,16,,,,,,,,,,,,,,,,,32,26,,,,,,,,,,,,,,,15,15,,,,,,,,,,,,,,,,,,,,,395,15
16,17,50381,15079,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,34,25,,,,,,,,,,,13468,5,,,,,,,,,15,16,141,12,,,178,58,,,,,,,,,,,,,,,,,,,135,12,,,,,,,,,,,,,,,,,,,,,,,,,,,779,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,143,29,,,,,,,,,,,,,,,,,,,,,,,,,,,186,23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,18,25821,14060,,,,,,,,,,,167,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3452,7,,,,,,,,,1070,86,6,21,1341,15,,,,,,,,,,,3933,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2907,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1159,1,,,,,,,,,,,,,,,,,,,,,,,,,,,25,54,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,19,27443,12170,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20,22,,,,,,,39,22,,,12,3,17,34,776,39,,,,,,,,,632,126,10,9,740,24,29,10,,,,,87,24,,,407,33,,,,,,,,,,,,,,,,,,,,,,,,,59,12,,,,,,,,,,,,,,,,,,,,,498,22,1949,8,,,,,,,,,,,,,1959,1,,,,,,,,,,,,,,,34,7,,,,,,,,,,,,,,,,,,,,,,,,,,,171,25,,,,,,,,,,,,,,,,,,,,,340,19,,,,,248,18,,,,,756,19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3363,1
19,20,811,11561,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,71,3,,,,,,,8,45,,,,,,,1497,19,,,,,,,,,3849,28,,,1966,7,,,,,,,78,28,,,770,18,,,,,,,,,,,,,3,6,,,,,382,5,,,,,,,,,,,109,20,,,,,,,,,,,,,,,67,84,221,31,,,,,,,,,,,,,169,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,809,6,,,52,23,,,,,,,,,,,,,,,,,491,13,,,,,576,8,,,120,6,323,31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
