bgg_id,page_views,rank,af,af_rank,als,als_rank,am,am_rank,an,an_rank,ang,ang_rank,ar,ar_rank,arc,arc_rank,arz,arz_rank,ast,ast_rank,az,az_rank,azb,azb_rank,ba,ba_rank,bar,bar_rank,bcl,bcl_rank,be,be_rank,bg,bg_rank,bh,bh_rank,bjn,bjn_rank,bn,bn_rank,bo,bo_rank,br,br_rank,bs,bs_rank,bxr,bxr_rank,ca,ca_rank,cdo,cdo_rank,ce,ce_rank,ckb,ckb_rank,cs,cs_rank,cv,cv_rank,cy,cy_rank,da,da_rank,de,de_rank,dsb,dsb_rank,dv,dv_rank,el,el_rank,eml,eml_rank,en,en_rank,eo,eo_rank,es,es_rank,et,et_rank,eu,eu_rank,fa,fa_rank,fi,fi_rank,fo,fo_rank,fr,fr_rank,frp,frp_rank,frr,frr_rank,fy,fy_rank,ga,ga_rank,gan,gan_rank,gd,gd_rank,gl,gl_rank,gu,gu_rank,hak,hak_rank,he,he_rank,hi,hi_rank,hif,hif_rank,hr,hr_rank,hsb,hsb_rank,ht,ht_rank,hu,hu_rank,hy,hy_rank,ia,ia_rank,id,id_rank,ie,ie_rank,ilo,ilo_rank,io,io_rank,is,is_rank,it,it_rank,ja,ja_rank,jam,jam_rank,jbo,jbo_rank,jv,jv_rank,ka,ka_rank,kk,kk_rank,kn,kn_rank,ko,ko_rank,ku,ku_rank,kw,kw_rank,ky,ky_rank,la,la_rank,lb,lb_rank,lez,lez_rank,li,li_rank,lt,lt_rank,lv,lv_rank,mg,mg_rank,min,min_rank,mk,mk_rank,ml,ml_rank,mn,mn_rank,mr,mr_rank,ms,ms_rank,mwl,mwl_rank,my,my_rank,nah,nah_rank,nds,nds_rank,ne,ne_rank,new,new_rank,nl,nl_rank,nn,nn_rank,no,no_rank,nrm,nrm_rank,nso,nso_rank,oc,oc_rank,olo,olo_rank,or,or_rank,os,os_rank,pa,pa_rank,pcd,pcd_rank,pih,pih_rank,pl,pl_rank,pnb,pnb_rank,ps,ps_rank,pt,pt_rank,qu,qu_rank,ro,ro_rank,ru,ru_rank,rue,rue_rank,sa,sa_rank,sah,sah_rank,scn,scn_rank,sco,sco_rank,se,se_rank,sh,sh_rank,si,si_rank,sk,sk_rank,sl,sl_rank,so,so_rank,sq,sq_rank,sr,sr_rank,stq,stq_rank,su,su_rank,sv,sv_rank,sw,sw_rank,szl,szl_rank,ta,ta_rank,tcy,tcy_rank,te,te_rank,tg,tg_rank,th,th_rank,tk,tk_rank,tl,tl_rank,tr,tr_rank,tt,tt_rank,tyv,tyv_rank,uk,uk_rank,ur,ur_rank,uz,uz_rank,vec,vec_rank,vep,vep_rank,vi,vi_rank,vls,vls_rank,vo,vo_rank,wa,wa_rank,war,war_rank,wo,wo_rank,wuu,wuu_rank,xal,xal_rank,xh,xh_rank,xmf,xmf_rank,yi,yi_rank,za,za_rank,zh,zh_rank
1294,18578,11,,,,,,,,,,,29,12,,,,,1,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18,21,,,,,,,,,,,,,57,20,825,27,,,,,,,,,10705,8,4,24,873,20,,,,,,,195,10,,,2748,3,,,,,,,,,,,,,4,5,,,,,141,10,,,,,,,,,,,107,17,,,,,62,12,,,,,2,7,,,950,6,,,,,,,,,,,,,,,61,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,9,,,,,,,,,,,,,504,11,,,43,20,,,,,4,5,,,,,,,,,,,,,74,36,,,,,,,,,,,515,22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,171,14,,,,,,,,,,,,,,,,,,,40,16,,,,,7,34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,434,13
25821,17131,12,,,,,,,,,,,428,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3485,5,,,,,,,,,1355,68,11,7,1495,10,,,,,,,,,,,4425,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2650,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1369,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,88,35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1825,5
2243,16766,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25,12,,,,,,,,,,,,,,,5,48,,,,,,,,,,,,,,,4714,2,,,,,,,,,5590,20,,,,,,,,,,,,,,,1662,7,,,,,,,,,,,,,,,,,,,,,,,,,101,8,,,,,152,10,,,,,,,,,,,,,,,524,19,173,38,,,,,,,,,,,,,6,64,,,,,,,,,,,,,,,47,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,927,7,,,,,,,,,,,,,,,,,,,,,,,675,5,,,,,664,9,,,14,10,948,14,,,,,,,3,6,,,,,,,,,,,59,5,,,,,413,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,64,44
181,16370,14,11,3,,,,,,,,,130,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21,19,,,,,,,,,,,,,150,7,1612,13,,,,,,,,,9171,11,,,1520,9,,,6,9,,,80,29,,,869,17,,,,,,,,,,,,,,,,,,,110,14,,,,,172,3,,,,,119,16,,,,,,,,,,,,,,,239,33,159,45,,,,,,,,,,,,,,,,,,,,,3,8,,,,,,,19,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,367,15,,,39,23,,,,,,,,,,,,,,,,,,,221,24,,,,,150,25,,,,,634,21,,,,,,,,,,,,,110,3,,,,,,,,,,,,,,,,,220,8,,,,,,,,,,,,,12,13,,,,,47,12,,,,,21,22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,158,25
50381,16349,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,48,22,,,,,,,,,,,13462,5,,,459,27,,,,,15,19,156,16,,,204,65,,,,,,,,,,,,,,,,,,,144,9,,,,,,,,,,,,,,,,,,,,,,,,,,,466,22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,85,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1310,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
320,15973,16,,,,,,,,,,,132,7,,,,,10,3,,,,,,,,,4,1,,,117,6,,,,,,,,,9,3,,,,,49,6,,,,,,,91,14,,,6,3,64,17,1015,23,,,,,280,6,,,6528,15,14,2,1373,13,24,6,,,55,13,256,8,,,1020,11,,,,,,,3,3,,,5,2,,,5,3,,,83,17,69,4,,,,,,,,,206,6,,,,,470,5,,,,,,,7,5,196,38,287,27,,,,,5,4,,,,,5,3,70,13,,,,,,,6,4,,,,,,,25,9,,,,,,,,,11,6,,,,,29,7,,,,,,,,,,,,,901,8,17,3,62,11,,,,,5,4,,,,,,,,,,,,,597,7,,,,,212,20,,,104,5,891,15,,,,,,,,,5,3,,,,,,,62,6,64,3,,,,,,,,,,,72,25,,,,,6,6,,,3,4,,,26,9,,,,,52,10,,,6,1,32,18,,,,,,,,,54,7,,,,,,,,,,,,,,,,,,,,,,,273,20
13,15875,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27,12,,,,,,,120,12,,,4,5,54,21,1191,17,,,,,5,12,,,7567,12,5,15,1455,12,,,8,5,,,,,5,2,634,25,,,,,,,,,,,,,,,,,,,824,3,,,,,,,,,,,170,9,,,,,,,,,,,,,,,339,25,1307,12,,,,,,,,,,,,,113,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,137,12,4,50,16,,,,,,,,,,,,,,,,,,,215,25,,,,,317,15,,,56,8,875,17,,,,,,,,,,,,,,,,,16,14,27,8,,,,,37,5,,,,,94,19,,,,,,,,,,,,,,,,,,,31,22,,,,,,,,,,,,,,,21,12,,,,,,,,,,,,,,,,,,,,,,,294,18
2425,13658,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,3,,,,,,,15,25,,,,,,,42,22,,,,,76,13,1091,20,,,,,,,,,4239,25,5,19,1149,18,,,5,12,74,10,190,11,,,956,13,,,,,,,,,,,,,,,,,,,106,15,,,,,,,,,,,124,14,,,,,,,,,,,,,,,705,12,695,20,,,,,,,,,,,,,8,56,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,254,20,,,,,,,,,,,,,,,,,,,,,,,234,22,,,,,648,10,,,127,2,2550,5,,,,,,,,,,,,,,,,,38,10,,,,,,,,,,,,,95,18,,,,,5,8,,,,,,,,,,,,,,,,,,,80,9,,,,,,,,,11,14,,,,,,,,,,,,,,,,,,,,,,,134,28
27443,11477,19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15,26,,,,,,,55,19,,,2,9,26,27,650,36,,,,,,,,,500,132,2,41,491,26,17,11,,,,,96,23,,,325,45,,,,,,,,,,,,,,,,,,,,,,,,,35,13,,,,,,,,,,,,,,,,,,,,,372,23,2242,6,,,,,,,,,,,,,2192,1,,,,,,,,,,,,,,,,,18,8,,,,,,,,,,,,,,,,,,,,,,,,,,,191,29,,,,,,,,,,,,,,,,,,,,,,,283,19,,,,,284,17,,,,,781,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,34,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2866,1
5072,10851,20,,,,,,,,,,,1,21,,,,,,,,,,,,,,,,,,,2,22,,,,,124,2,,,,,,,,,3,69,,,,,,,,,,,,,143,9,523,44,,,,,,,,,6811,14,2,37,85,62,,,,,,,,,,,372,38,,,,,,,,,,,,,,,20,2,,,,,676,2,,,,,,,,,,,,,,,164,9,,,,,,,,,89,71,1273,13,,,,,,,,,,,,,20,34,,,,,,,,,,,,,,,,,,,,,8,1,,,13,4,,,110,2,,,,,,,,,,,,,,,54,61,4,14,106,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,121,54,,,,,,,,,,,,,,,5,4,,,,,,,,,,,,,,,25,44,,,,,39,2,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,56,47
