,rank,bgg_id,page_views,af,af_rank,als,als_rank,am,am_rank,an,an_rank,ang,ang_rank,ar,ar_rank,arc,arc_rank,arz,arz_rank,as,as_rank,ast,ast_rank,avk,avk_rank,awa,awa_rank,az,az_rank,azb,azb_rank,ba,ba_rank,bar,bar_rank,bcl,bcl_rank,be,be_rank,bg,bg_rank,bh,bh_rank,bjn,bjn_rank,bn,bn_rank,bo,bo_rank,br,br_rank,bs,bs_rank,bxr,bxr_rank,ca,ca_rank,cdo,cdo_rank,ce,ce_rank,ckb,ckb_rank,cs,cs_rank,cv,cv_rank,cy,cy_rank,da,da_rank,de,de_rank,diq,diq_rank,dsb,dsb_rank,dv,dv_rank,el,el_rank,eml,eml_rank,en,en_rank,eo,eo_rank,es,es_rank,et,et_rank,eu,eu_rank,fa,fa_rank,fi,fi_rank,fj,fj_rank,fo,fo_rank,fr,fr_rank,frp,frp_rank,frr,frr_rank,fy,fy_rank,ga,ga_rank,gan,gan_rank,gcr,gcr_rank,gd,gd_rank,gl,gl_rank,gu,gu_rank,hak,hak_rank,haw,haw_rank,he,he_rank,hi,hi_rank,hif,hif_rank,hr,hr_rank,hsb,hsb_rank,ht,ht_rank,hu,hu_rank,hy,hy_rank,hyw,hyw_rank,ia,ia_rank,id,id_rank,ie,ie_rank,ilo,ilo_rank,io,io_rank,is,is_rank,it,it_rank,ja,ja_rank,jam,jam_rank,jbo,jbo_rank,jv,jv_rank,ka,ka_rank,kk,kk_rank,kn,kn_rank,ko,ko_rank,ku,ku_rank,kw,kw_rank,ky,ky_rank,la,la_rank,lb,lb_rank,lez,lez_rank,lfn,lfn_rank,li,li_rank,lt,lt_rank,lv,lv_rank,mai,mai_rank,mg,mg_rank,min,min_rank,mk,mk_rank,ml,ml_rank,mn,mn_rank,mr,mr_rank,ms,ms_rank,mwl,mwl_rank,my,my_rank,nah,nah_rank,nds,nds_rank,ne,ne_rank,new,new_rank,nl,nl_rank,nn,nn_rank,no,no_rank,nov,nov_rank,nrm,nrm_rank,nso,nso_rank,oc,oc_rank,olo,olo_rank,or,or_rank,os,os_rank,pa,pa_rank,pcd,pcd_rank,pih,pih_rank,pl,pl_rank,pnb,pnb_rank,ps,ps_rank,pt,pt_rank,qu,qu_rank,rm,rm_rank,ro,ro_rank,ru,ru_rank,rue,rue_rank,sa,sa_rank,sah,sah_rank,sat,sat_rank,sc,sc_rank,scn,scn_rank,sco,sco_rank,se,se_rank,sh,sh_rank,si,si_rank,sk,sk_rank,sl,sl_rank,so,so_rank,sq,sq_rank,sr,sr_rank,stq,stq_rank,su,su_rank,sv,sv_rank,sw,sw_rank,szl,szl_rank,ta,ta_rank,tcy,tcy_rank,te,te_rank,tg,tg_rank,th,th_rank,ti,ti_rank,tk,tk_rank,tl,tl_rank,tr,tr_rank,tt,tt_rank,tyv,tyv_rank,uk,uk_rank,ur,ur_rank,uz,uz_rank,vec,vec_rank,vep,vep_rank,vi,vi_rank,vls,vls_rank,vo,vo_rank,wa,wa_rank,war,war_rank,wo,wo_rank,wuu,wuu_rank,xal,xal_rank,xh,xh_rank,xmf,xmf_rank,yi,yi_rank,za,za_rank,zh,zh_rank
0,1,171,375042,175,1,28,1,17,1,20,1,18,1,5738,1,20,1,25,1,28,1,42,1,4,1,14,1,493,1,28,1,29,1,16,2,,,42,1,853,1,145,1,119,1,420,1,12,1,38,1,378,1,19,1,655,1,26,1,11,1,38,1,2395,1,17,1,44,1,1025,1,17798,1,13,1,16,1,17,1,2603,1,15,1,112785,1,69,1,43651,1,700,1,231,1,5635,1,3775,1,14,1,28,1,28998,1,,,18,1,28,1,24,1,17,1,16,1,16,1,41,1,61,1,16,1,,,6869,1,1255,1,98,1,1049,1,11,1,15,1,2399,1,361,1,,,14,1,2220,2,14,1,23,1,19,1,190,1,31328,1,3565,2,8,1,16,2,10,3,1110,1,639,1,118,1,539,2,12,2,16,1,85,1,59,1,24,1,14,1,20,1,20,1,783,1,326,1,8,1,8,2,24,1,129,1,557,1,178,1,544,1,633,2,14,1,61,1,15,1,17,1,50,1,15,1,4327,1,35,1,1085,1,9,1,,,12,1,21,2,14,1,13,1,16,1,37,1,,,5,1,19206,1,12,1,20,1,9588,1,19,1,18,1,2202,1,13518,1,19,1,20,1,19,1,26,1,16,1,21,1,19,1,19,1,228,3,103,1,913,1,386,1,,,271,1,676,1,,,7,3,3604,1,38,2,,,152,1,,,289,1,25,1,1321,1,12,1,67,1,169,1,5200,1,26,1,,,974,1,69,1,296,1,21,1,15,1,3566,1,,,13,1,,,17,1,,,29,1,15,1,8,1,19,1,26,1,,,21172,1
1,2,2223,72531,,,,,,,,,,,1186,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,47,16,,,,,,,1032,2,,,,,180,6,2285,15,,,,,,,,,,,20082,3,,,6261,2,,,,,2484,3,1488,2,,,,,4033,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,92,3,,,,,608,4,,,,,,,,,5904,2,3019,3,,,,,6,5,,,,,,,60,14,,,,,,,,,,,,,,,,,120,4,,,,,,,,,,,15,5,,,,,188,3,,,,,,,,,,,,,1032,10,,,503,2,,,,,,,,,,,,,,,,,,,,,5826,2,,,,,7001,2,,,,,,,3029,8,,,,,,,,,,,,,,,,,,,9,4,,,296,2,,,23,2,116,7,,,,,320,9,,,,,,,,,,,,,384,2,,,,,,,1353,2,,,,,429,3,,,,,,,,,1306,2,,,,,,,,,,,7,9,,,,,,,,,,,1807,7
2,3,1406,62370,41,2,,,,,,,,,614,4,,,,,,,24,3,,,,,70,3,,,,,,,,,,,373,3,,,,,,,,,,,,,,,119,5,,,,,,,383,8,,,18,2,288,3,5100,2,,,,,,,1121,2,,,20624,2,22,3,5625,3,52,5,25,2,451,5,924,4,,,,,4135,3,28,1,,,,,17,2,,,,,,,,,,,,,,,679,4,,,,,473,2,,,,,246,11,92,2,,,12,2,2623,1,,,,,,,23,3,2600,3,1963,6,,,16,3,14,2,,,,,,,110,8,,,,,69,2,20,2,,,,,,,,,95,5,35,7,,,,,,,,,,,,,,,111,4,,,,,,,,,,,,,2522,2,18,2,335,3,,,,,,,34,1,,,,,,,,,,,,,1088,10,,,,,958,7,,,,,228,6,4071,7,,,,,,,,,,,14,2,18,2,,,859,1,,,103,9,80,6,,,,,200,5,,,,,625,3,,,,,,,,,,,,,,,,,,,,,138,11,,,,,227,5,17,4,,,,,,,351,7,,,,,,,14,2,,,17,3,,,,,,,16,2,,,1202,9
3,4,2397,49102,17,3,5,4,,,8,2,,,1215,2,,,,,,,13,5,,,,,125,2,,,10,2,,,,,10,5,419,2,,,,,10,6,,,15,2,24,2,,,156,4,,,5,2,17,2,411,7,,,10,3,557,2,4685,3,,,,,,,603,4,,,18720,4,16,5,3170,6,31,7,11,5,3042,2,225,16,,,,,2757,6,,,,,10,2,,,,,,,,,14,2,,,,,,,1113,2,,,13,2,211,8,,,,,365,7,63,4,,,11,3,50,11,,,,,4,5,31,2,1754,7,1220,10,,,,,,,72,2,28,2,,,40,22,13,1,,,,,12,3,,,,,8,2,8,2,62,7,66,4,,,,,,,58,2,7,6,,,,,13,9,,,,,,,,,,,,,839,13,10,9,235,4,,,,,,,6,6,,,,,,,5,3,,,,,1209,9,3,2,,,764,10,,,,,,,1729,11,,,,,,,,,,,7,3,,,,,74,4,,,114,7,63,8,,,,,153,6,,,,,579,4,11,3,,,23,4,,,,,,,74,8,,,,,7,5,676,5,,,,,152,8,21,3,,,,,8,2,92,13,10,1,,,,,4,4,,,8,8,,,,,,,7,3,,,686,15
4,5,10816,43587,,,,,,,,,,,332,7,,,,,,,37,2,,,,,,,,,,,20,1,,,24,2,119,8,,,,,,,,,,,14,3,,,80,7,,,,,,,414,6,,,,,168,7,2573,13,,,,,,,152,9,,,11998,8,,,3451,4,55,4,,,398,6,291,7,,,,,1791,12,,,,,,,,,,,,,,,,,,,,,,,385,6,40,6,,,217,7,,,,,377,6,,,,,,,573,5,,,,,,,,,1659,9,1386,8,,,,,,,,,,,21,2,168,5,,,,,,,,,,,,,,,,,,,70,3,,,,,,,,,,,,,,,,,,,,,,,,,16,2,,,788,16,14,7,203,5,,,17,1,,,,,,,,,,,,,,,,,1710,6,,,,,2062,3,,,,,150,8,8347,2,,,,,,,,,,,,,,,,,26,7,,,73,11,,,,,,,106,8,,,,,336,6,,,,,,,,,,,,,,,,,,,22,3,241,9,,,,,213,7,,,,,,,,,421,6,,,,,,,13,3,,,18,2,,,,,,,,,,,1998,6
5,6,2093,34190,,,,,,,,,,,73,19,,,,,,,,,,,,,12,5,,,,,,,,,,,50,11,,,,,11,5,11,2,,,,,,,62,11,14,2,,,,,143,22,,,,,62,16,1339,28,,,,,,,,,,,13818,6,24,2,1746,15,,,,,89,14,199,20,,,,,1452,18,,,,,,,,,11,2,,,,,,,,,11,2,,,98,23,21,7,,,55,13,,,,,111,19,12,6,,,,,113,10,,,,,,,,,907,18,4583,1,,,37,1,6,4,,,8,3,,,158,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,49,7,,,,,,,,,,,,,551,22,,,57,21,,,,,,,,,,,,,,,,,,,,,488,22,,,,,926,8,,,,,,,1581,12,,,,,6,2,,,,,,,,,,,,,,,57,13,19,14,,,,,,,17,1,,,227,14,,,12,2,,,,,,,,,333,5,,,,,,,75,15,,,,,90,11,,,,,,,,,561,4,,,,,,,,,,,8,7,,,,,,,,,16,1,3881,2
6,7,13,28040,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,211,2,,,,,,,301,13,,,4,9,40,25,2904,10,,,,,,,160,8,,,11677,9,8,10,3314,5,,,12,3,,,55,41,,,6,2,1277,21,,,,,,,,,,,,,1,4,,,,,,,,,944,3,,,,,,,,,,,249,10,,,5,1,,,,,,,,,,,,,650,26,1109,12,,,,,,,,,,,,,54,17,,,,,,,,,,,,,,,,,,,17,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1589,4,14,5,105,11,,,,,,,,,,,,,,,,,,,,,514,20,,,,,545,12,,,,,100,9,1114,16,,,,,,,,,,,,,,,,,,,,,61,12,94,5,,,,,89,9,,,,,242,12,,,,,,,,,,,,,,,,,,,,,48,20,,,,,,,,,,,,,,,29,18,,,,,,,,,,,,,,,,,,,,,,,498,18
7,8,2162,27372,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,3,,,,,18,34,,,,,,,207,18,,,,,40,26,1744,22,,,,,,,,,,,12697,7,,,1190,22,,,,,,,140,26,,,,,1239,22,,,,,2,6,,,,,,,,,,,,,,,,,30,46,,,,,,,,,,,184,14,,,,,,,10,17,,,,,,,6,9,726,24,282,31,,,,,,,5,4,,,,,61,13,,,,,,,,,,,,,,,,,13,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,129,52,4,13,,,,,,,,,,,,,,,,,,,,,,,675,15,,,,,268,22,,,,,10,14,4542,6,,,,,,,,,,,,,,,,,6,9,,,,,12,16,,,,,24,15,,,,,181,18,,,,,,,,,,,,,,,,,,,,,63,18,,,,,149,9,,,,,,,,,136,10,,,,,,,,,,,,,,,,,,,,,,,2569,5
8,9,2181,26775,,,,,,,,,,,156,11,,,,,,,,,,,,,,,,,6,3,,,,,,,214,7,,,,,,,,,,,,,,,39,19,,,,,,,232,15,,,,,202,4,1840,21,,,,,,,234,6,,,8277,17,19,4,2286,10,120,2,11,4,,,210,18,,,,,1566,17,,,,,,,,,,,,,,,,,,,,,,,266,9,,,,,84,10,,,,,278,8,,,,,,,254,8,,,,,,,21,4,1228,12,867,15,,,,,,,38,3,,,,,23,38,,,,,,,,,,,,,,,7,3,40,10,32,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,632,18,17,3,163,6,,,,,,,,,,,,,,,,,,,,,1576,7,,,,,417,15,,,,,158,7,2200,9,,,,,,,,,,,3,6,,,,,27,6,,,73,10,27,11,,,,,31,14,9,2,,,957,2,,,,,,,,,,,,,161,6,,,,,,,265,6,,,,,219,6,22,2,,,,,,,,,,,,,,,,,,,9,5,,,,,,,,,,,1259,8
9,10,2425,26655,,,,,,,,,,,102,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,4,,,,,,,64,10,,,,,,,316,10,,,,,123,10,1862,20,,,,,,,,,,,6322,25,9,9,2389,9,,,5,11,145,10,213,17,,,,,2197,10,,,,,4,5,,,,,,,,,,,,,,,,,183,11,,,,,,,,,,,277,9,9,8,,,,,,,,,,,,,,,1671,8,1021,13,,,,,,,,,,,,,17,52,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,534,24,,,,,,,,,,,,,,,,,,,,,,,,,1735,5,,,,,1274,4,,,,,331,3,4768,5,,,,,,,,,,,,,,,,,,,,,166,3,,,,,,,,,,,,,206,16,,,,,8,7,,,,,,,,,,,,,,,,,,,,,411,4,,,,,,,,,33,17,,,,,,,,,,,,,,,,,,,,,,,256,26
