Name,BestOdds,B3,WH,UN,FR,EE,SX,LD,VC,KN,BY,OE,S6,PUP,SI,VE,QN,WA,CE,G5,BTT,BRS,SK,PP,AKB,BF,MA
Jak Jones,74.0,51.0,51.0,71.0,67.0,51.0,41.0,51.0,51.0,56.0,51.0,51.0,61.0,51.0,41.0,56.0,41.0,67.0,51.0,51.0,51.0,51.0,51.0,56.0,61.0,74.0,69.0
Chris Wakelin,98.0,51.0,51.0,71.0,51.0,51.0,41.0,51.0,51.0,67.0,67.0,51.0,71.0,67.0,41.0,67.0,51.0,67.0,51.0,51.0,51.0,67.0,67.0,67.0,71.0,98.0,83.0
Xiao Guodong,108.0,51.0,67.0,76.0,67.0,67.0,41.0,41.0,51.0,71.0,34.0,51.0,71.0,67.0,41.0,71.0,34.0,67.0,41.0,51.0,51.0,67.0,67.0,67.0,76.0,108.0,98.0
Ding Junhui,147.0,67.0,67.0,76.0,67.0,67.0,51.0,51.0,51.0,81.0,67.0,67.0,81.0,67.0,51.0,81.0,41.0,67.0,51.0,67.0,67.0,67.0,81.0,81.0,86.0,147.0,137.0
Si Jiahui,147.0,67.0,67.0,81.0,51.0,67.0,81.0,67.0,51.0,81.0,67.0,67.0,81.0,67.0,81.0,81.0,51.0,67.0,67.0,67.0,67.0,67.0,81.0,81.0,86.0,147.0,147.0
Ali Carter,147.0,81.0,81.0,101.0,51.0,81.0,51.0,81.0,61.0,101.0,67.0,81.0,101.0,81.0,51.0,101.0,51.0,81.0,81.0,81.0,81.0,81.0,81.0,81.0,111.0,147.0,147.0
Zhou Yuelong,186.0,67.0,67.0,71.0,67.0,67.0,67.0,51.0,61.0,81.0,67.0,67.0,101.0,67.0,67.0,81.0,51.0,81.0,51.0,67.0,67.0,67.0,81.0,81.0,101.0,186.0,167.0
David Gilbert,186.0,101.0,81.0,81.0,101.0,81.0,101.0,81.0,81.0,101.0,101.0,81.0,111.0,101.0,101.0,101.0,67.0,81.0,81.0,81.0,81.0,101.0,101.0,101.0,111.0,176.0,186.0
Gary Wilson,186.0,81.0,81.0,81.0,51.0,81.0,81.0,67.0,61.0,81.0,101.0,67.0,111.0,81.0,81.0,81.0,51.0,81.0,67.0,81.0,81.0,81.0,81.0,81.0,111.0,186.0,186.0
Stan Moody,186.0,101.0,101.0,91.0,67.0,101.0,81.0,67.0,71.0,101.0,101.0,67.0,126.0,81.0,81.0,101.0,51.0,81.0,67.0,81.0,81.0,81.0,101.0,101.0,131.0,186.0,176.0
Hossein Vafaei,235.0,101.0,101.0,111.0,101.0,101.0,101.0,81.0,81.0,101.0,101.0,81.0,126.0,81.0,101.0,101.0,67.0,101.0,81.0,81.0,81.0,81.0,67.0,61.0,121.0,235.0,235.0
Lei Peifan,510.0,201.0,201.0,251.0,201.0,201.0,201.0,151.0,101.0,201.0,201.0,151.0,251.0,101.0,201.0,201.0,81.0,151.0,151.0,151.0,151.0,101.0,201.0,201.0,226.0,510.0,490.0
Liam Pullen,519.0,151.0,151.0,301.0,151.0,151.0,301.0,201.0,251.0,351.0,201.0,201.0,351.0,251.0,301.0,351.0,126.0,201.0,201.0,201.0,201.0,251.0,351.0,326.0,351.0,519.0,490.0
Pang Junxu,549.0,126.0,151.0,181.0,151.0,151.0,151.0,126.0,101.0,176.0,101.0,126.0,151.0,101.0,151.0,176.0,81.0,126.0,126.0,101.0,101.0,101.0,151.0,151.0,176.0,549.0,490.0
He Guoqiang,617.0,201.0,251.0,201.0,251.0,251.0,301.0,201.0,151.0,301.0,201.0,201.0,301.0,201.0,301.0,301.0,101.0,201.0,201.0,201.0,201.0,0.0,251.0,226.0,301.0,617.0,490.0
Matthew Stevens,617.0,301.0,301.0,451.0,301.0,301.0,401.0,201.0,251.0,501.0,251.0,201.0,501.0,251.0,401.0,501.0,151.0,251.0,201.0,251.0,251.0,251.0,501.0,501.0,501.0,617.0,108.0
Fan Zhengyi,745.0,201.0,201.0,226.0,201.0,201.0,201.0,151.0,101.0,176.0,151.0,151.0,301.0,101.0,201.0,176.0,101.0,201.0,151.0,151.0,151.0,101.0,251.0,226.0,401.0,745.0,490.0
Antoni Kowalski,843.0,401.0,501.0,401.0,401.0,501.0,501.0,301.0,401.0,501.0,251.0,251.0,501.0,251.0,501.0,501.0,251.0,401.0,301.0,251.0,251.0,251.0,351.0,376.0,501.0,843.0,0.0
Liam Highfield,872.0,301.0,301.0,401.0,401.0,301.0,401.0,201.0,151.0,401.0,251.0,201.0,401.0,251.0,401.0,401.0,126.0,251.0,201.0,251.0,251.0,251.0,351.0,376.0,401.0,872.0,255.0
