Name,BestOdds,B3,SK,PP,WH,EE,FB,VC,LD,UN,SX,FR,KN,BY,OE,S6,PUP,SI,LS,QN,WA,CE,N4,G5,VT,AKB,BF,MA
Si Jiahui,54.0,41.0,34.0,41.0,41.0,41.0,41.0,34.0,46.0,51.0,41.0,34.0,51.0,41.0,41.0,51.0,41.0,41.0,51.0,34.0,41.0,46.0,34.0,36.0,41.0,41.0,54.0,54.0
Wu Yize,64.0,41.0,41.0,41.0,41.0,41.0,41.0,41.0,46.0,51.0,34.0,41.0,51.0,51.0,51.0,51.0,41.0,34.0,51.0,34.0,41.0,46.0,41.0,41.0,41.0,51.0,64.0,64.0
Mark Williams,64.0,34.0,34.0,41.0,34.0,34.0,41.0,34.0,41.0,41.0,41.0,41.0,41.0,34.0,34.0,56.0,41.0,41.0,41.0,29.0,41.0,41.0,34.0,31.0,34.0,51.0,64.0,64.0
Joe O'Connor,69.0,41.0,51.0,56.0,51.0,51.0,56.0,51.0,61.0,51.0,51.0,51.0,51.0,51.0,41.0,67.0,51.0,51.0,51.0,34.0,51.0,61.0,41.0,46.0,41.0,67.0,69.0,69.0
Zhang Anda,83.0,67.0,51.0,67.0,67.0,67.0,67.0,51.0,51.0,56.0,51.0,51.0,56.0,67.0,67.0,67.0,67.0,51.0,56.0,51.0,67.0,51.0,51.0,56.0,67.0,67.0,83.0,83.0
Xiao Guodong,88.0,41.0,41.0,51.0,41.0,41.0,51.0,41.0,46.0,34.0,41.0,41.0,34.0,41.0,41.0,56.0,51.0,41.0,34.0,34.0,41.0,46.0,41.0,36.0,41.0,67.0,88.0,88.0
Pang Junxu,126.0,81.0,81.0,81.0,67.0,67.0,81.0,81.0,81.0,81.0,101.0,81.0,81.0,101.0,81.0,101.0,101.0,101.0,81.0,67.0,81.0,81.0,67.0,76.0,81.0,126.0,108.0,108.0
Jak Jones,127.0,67.0,51.0,67.0,67.0,67.0,67.0,56.0,67.0,81.0,81.0,67.0,81.0,67.0,67.0,81.0,67.0,81.0,81.0,51.0,67.0,67.0,41.0,61.0,67.0,81.0,118.0,127.0
Ali Carter,137.0,67.0,51.0,67.0,67.0,67.0,67.0,67.0,61.0,67.0,51.0,67.0,67.0,67.0,51.0,71.0,67.0,51.0,67.0,51.0,67.0,61.0,41.0,61.0,67.0,71.0,137.0,137.0
David Gilbert,167.0,81.0,81.0,101.0,101.0,101.0,101.0,81.0,81.0,101.0,81.0,81.0,101.0,101.0,81.0,101.0,101.0,81.0,101.0,67.0,81.0,81.0,67.0,96.0,81.0,101.0,167.0,157.0
Hossein Vafaei,225.0,81.0,81.0,67.0,67.0,67.0,67.0,81.0,81.0,101.0,81.0,101.0,101.0,101.0,81.0,101.0,101.0,81.0,101.0,67.0,81.0,81.0,67.0,76.0,81.0,126.0,225.0,225.0
Chris Wakelin,235.0,101.0,67.0,101.0,101.0,101.0,101.0,67.0,101.0,81.0,101.0,101.0,81.0,101.0,101.0,101.0,101.0,101.0,81.0,81.0,101.0,101.0,67.0,96.0,101.0,101.0,235.0,235.0
Zak Surety,265.0,151.0,126.0,201.0,151.0,151.0,201.0,151.0,151.0,201.0,201.0,151.0,201.0,201.0,151.0,251.0,201.0,201.0,201.0,126.0,151.0,151.0,101.0,126.0,151.0,251.0,265.0,245.0
Zhou Yuelong,314.0,101.0,67.0,126.0,101.0,101.0,126.0,81.0,126.0,151.0,101.0,101.0,151.0,101.0,126.0,151.0,151.0,101.0,151.0,81.0,101.0,126.0,67.0,96.0,101.0,151.0,314.0,304.0
Fan Zhengyi,323.0,151.0,151.0,151.0,151.0,151.0,151.0,126.0,151.0,201.0,201.0,151.0,201.0,201.0,151.0,201.0,201.0,201.0,201.0,126.0,151.0,151.0,101.0,126.0,151.0,201.0,323.0,314.0
Lei Peifan,470.0,251.0,151.0,201.0,251.0,251.0,201.0,151.0,301.0,251.0,401.0,201.0,251.0,251.0,201.0,301.0,251.0,401.0,251.0,201.0,201.0,301.0,101.0,226.0,251.0,251.0,461.0,470.0
Ryan Day,490.0,126.0,101.0,201.0,151.0,151.0,201.0,126.0,126.0,176.0,151.0,201.0,176.0,201.0,126.0,201.0,151.0,151.0,176.0,101.0,126.0,126.0,101.0,126.0,126.0,201.0,490.0,441.0
Matthew Selt,598.0,151.0,151.0,201.0,151.0,151.0,201.0,151.0,151.0,201.0,201.0,201.0,201.0,201.0,201.0,251.0,151.0,201.0,201.0,126.0,151.0,151.0,151.0,126.0,151.0,251.0,598.0,490.0
Ben Woollaston,843.0,301.0,151.0,301.0,251.0,251.0,301.0,251.0,301.0,301.0,401.0,251.0,301.0,301.0,201.0,351.0,251.0,401.0,301.0,251.0,251.0,301.0,151.0,276.0,301.0,351.0,843.0,392.0
Daniel Wells,980.0,301.0,201.0,376.0,251.0,251.0,376.0,251.0,301.0,351.0,401.0,301.0,351.0,301.0,251.0,401.0,251.0,401.0,351.0,251.0,301.0,301.0,151.0,276.0,301.0,351.0,980.0,372.0
