,designer,winner,winner,winner,winner,nominated,nominated,nominated,nominated,recommended,recommended,recommended,recommended,sonderpreis,sonderpreis,sonderpreis,sonderpreis,all,all,all
bgg_id,name,kenner,kinder,spiel,total,kenner,kinder,spiel,total,kenner,kinder,spiel,total,kenner,kinder,spiel,total,best_rating,total,rank
7,Wolfgang Kramer,0,1,5,6,1,2,4,7,0,3,12,15,0,0,0,0,7.59248,28,1
11,Klaus Teuber,0,0,4,4,0,1,0,1,0,1,3,4,0,0,0,0,6.90226,9,2
2,Reiner Knizia,1,1,1,3,0,4,6,10,1,5,18,24,0,0,1,1,7.53945,38,3
42,Michael Kiesling,0,0,3,3,2,0,3,5,0,0,4,4,0,0,0,0,7.60488,12,4
6940,Inka Brand,2,1,0,3,0,2,0,2,0,0,2,2,0,0,0,0,7.28187,7,5
6941,Markus Brand,2,1,0,3,0,2,0,2,0,0,2,2,0,0,0,0,7.28187,7,5
24,Alex Randolph,0,2,1,3,0,1,0,1,0,0,13,13,0,0,0,0,6.14315,17,7
79463,Marie Fort,0,2,0,2,0,1,0,1,0,0,0,0,0,1,0,1,6.34153,4,8
79462,Wilfried Fort,0,2,0,2,0,1,0,1,0,0,0,0,0,1,0,1,6.34153,4,8
1727,Bruno Cathala,0,1,1,2,0,0,0,0,2,0,7,9,0,0,1,1,7.95118,12,10
80162,Wolfgang Warsch,1,1,0,2,1,3,1,5,0,0,0,0,0,0,0,0,7.66637,7,11
256,Heinz Meister,0,2,0,2,0,3,1,4,0,5,2,7,0,0,0,0,5.75966,13,12
9,Alan R. Moon,0,0,2,2,1,0,2,3,0,0,5,5,0,0,0,0,7.78065,10,13
500,Manfred Ludwig,0,2,0,2,0,2,0,2,0,1,1,2,0,0,0,0,6.00075,6,14
9714,Antoine Bauza,1,0,1,2,0,1,0,1,1,0,2,3,0,0,0,0,7.95118,6,15
117,Andreas Seyfarth,0,0,2,2,0,0,1,1,0,0,1,1,0,0,0,0,7.75175,4,16
267,Klaus Zoch,0,2,0,2,0,0,1,1,0,0,1,1,0,0,0,0,6.31072,4,17
10525,Donald X. Vaccarino,0,0,2,2,1,0,0,1,0,0,0,0,0,0,0,0,7.47413,3,18
8397,Andreas Pelikan,2,0,0,2,0,0,1,1,0,0,0,0,0,0,0,0,7.21141,3,19
110904,Markus Slawitscheck,1,1,0,2,0,0,1,1,0,0,0,0,0,0,0,0,6.67669,3,20
11767,Alexander Pfister,2,0,0,2,0,0,0,0,2,0,0,2,0,0,0,0,7.97168,4,21
10067,Steffen Bogen,0,1,1,2,0,0,0,0,0,1,0,1,0,0,0,0,6.8759,3,22
1783,Peter-Paul Joopen,0,2,0,2,0,0,0,0,0,1,0,1,0,0,0,0,5.74411,3,23
378,Matt Leacock,1,0,0,1,2,0,3,5,0,0,0,0,1,0,0,1,8.34461,7,24
789,Vlaada Chvátil,0,0,1,1,0,0,0,0,0,0,2,2,0,0,1,1,7.42725,4,25
381,Rüdiger Dorn,1,0,0,1,0,1,5,6,0,0,3,3,0,0,0,0,7.37096,10,26
645,Kai Haferkamp,0,1,0,1,0,3,0,3,0,9,0,9,0,0,0,0,5.54448,13,27
4884,Marco Teubner,0,1,0,1,0,3,0,3,0,6,1,7,0,0,0,0,6.10224,11,28
1288,Jens-Peter Schliemann,0,1,0,1,0,2,0,2,0,3,2,5,0,0,0,0,6.19508,8,29
285,Roberto Fraga,0,1,0,1,0,2,0,2,1,1,1,3,0,0,0,0,7.28509,6,30
129,Bernhard Weber,0,1,0,1,0,1,0,1,0,2,1,3,0,0,0,0,6.19508,5,31
7808,Lukas Zach,0,0,1,1,1,0,0,1,0,2,0,2,0,0,0,0,7.17336,4,32
461,Michael Palm,0,0,1,1,1,0,0,1,0,2,0,2,0,0,0,0,7.17336,4,32
111626,Urtis Šulinskas,0,1,0,1,0,1,0,1,0,1,0,1,0,0,0,0,5.67713,3,34
78797,Florian Sirieix,0,1,0,1,0,1,0,1,0,1,0,1,0,0,0,0,5.60122,3,35
122804,Randy Flynn,0,0,1,1,0,1,0,1,0,0,0,0,0,0,0,0,7.73405,2,36
11825,Michael Menzel,1,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,6.85408,2,37
86,Michael Schacht,0,0,1,1,0,0,0,0,0,1,8,9,0,0,0,0,6.82056,10,38
4,Sid Sackson,0,0,1,1,0,0,0,0,0,0,7,7,0,0,0,0,7.12864,8,39
154,Rudi Hoffmann,0,0,1,1,0,0,0,0,0,0,6,6,0,0,0,0,5.88609,7,40
173,Günter Burkhardt,0,1,0,1,0,0,0,0,0,1,5,6,0,0,0,0,6.07854,7,41
60,Dirk Henn,0,0,1,1,0,0,0,0,0,0,5,5,0,0,0,0,6.90629,6,42
398,Klaus-Jürgen Wrede,0,0,1,1,0,0,0,0,0,0,3,3,0,0,0,0,7.299,4,43
308,Guido Hoffmann,0,1,0,1,0,0,0,0,0,3,0,3,0,0,0,0,5.73814,4,44
45563,Thomas Sing,1,0,0,1,0,0,0,0,0,0,2,2,0,0,0,0,7.61411,3,45
179,Virginia Charves,0,1,0,1,0,0,0,0,0,0,2,2,0,0,0,0,5.76063,3,46
8,Richard Ulrich,0,0,1,1,0,0,0,0,0,0,1,1,0,0,0,0,7.59248,2,47
3526,Carl de Visser,1,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,7.68295,2,48
