,designer,winner,winner,winner,winner,nominated,nominated,nominated,nominated,recommended,recommended,recommended,recommended,sonderpreis,sonderpreis,sonderpreis,sonderpreis,all,all,all
bgg_id,name,kenner,kinder,spiel,total,kenner,kinder,spiel,total,kenner,kinder,spiel,total,kenner,kinder,spiel,total,best_rating,total,rank
2141,Dieter Drkosch,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0.0,2,250
150,Thomas Lehmann,0,0,0,0,0,0,0,0,1,0,1,2,0,0,0,0,7.43113,2,251
101836,Carlo Bortolini,0,0,0,0,0,0,0,0,1,0,1,2,0,0,0,0,6.42983,2,252
3418,David Franck,0,0,0,0,0,0,0,0,0,1,1,2,0,0,0,0,6.5428,2,253
3327,Laurent Escoffier,0,0,0,0,0,0,0,0,0,1,1,2,0,0,0,0,6.5428,2,253
237,Wolfgang Lehmann,0,0,0,0,0,0,0,0,0,1,1,2,0,0,0,0,6.02025,2,255
106170,Jonathan Favre-Godal,0,0,0,0,0,0,0,0,0,1,1,2,0,0,0,0,5.88894,2,256
68073,Ken Gruhl,0,0,0,0,0,0,0,0,0,1,1,2,0,0,0,0,5.84745,2,257
81298,Romaric Galonnier,0,0,0,0,0,0,0,0,0,1,1,2,0,0,0,0,5.69084,2,258
227,Bernhard Naegele,0,0,0,0,0,0,0,0,0,1,1,2,0,0,0,0,5.54481,2,259
275,Hartmut Witt,0,0,0,0,0,0,0,0,0,1,1,2,0,0,0,0,5.49458,2,260
59986,Daniele Tascini,0,0,0,0,0,0,0,0,2,0,0,2,0,0,0,0,7.70425,2,261
103821,S J Macdonald,0,0,0,0,0,0,0,0,2,0,0,2,0,0,0,0,7.68019,2,262
44378,Scott Frisco,0,0,0,0,0,0,0,0,0,2,0,2,0,0,0,0,6.72975,2,263
3911,Steven Strumpf,0,0,0,0,0,0,0,0,0,2,0,2,0,0,0,0,6.72975,2,263
5178,Klaus Miltenberger,0,0,0,0,0,0,0,0,0,2,0,2,0,0,0,0,6.52141,2,265
49760,Carlo Emanuele Lanzavecchia,0,0,0,0,0,0,0,0,0,2,0,2,0,0,0,0,5.58977,2,266
8767,Felix Beukemann,0,0,0,0,0,0,0,0,0,2,0,2,0,0,0,0,5.54484,2,267
2111,Liesbeth Bos,0,0,0,0,0,0,0,0,0,2,0,2,0,0,0,0,5.53245,2,268
84381,Anna Oppolzer,0,0,0,0,0,0,0,0,0,2,0,2,0,0,0,0,5.52423,2,269
77946,Stefan Kloß,0,0,0,0,0,0,0,0,0,2,0,2,0,0,0,0,5.52423,2,269
93,Klaus Kreowski,0,0,0,0,0,0,0,0,0,2,0,2,0,0,0,0,5.50075,2,271
4542,Angelika Lange,0,0,0,0,0,0,0,0,0,2,0,2,0,0,0,0,0.0,2,272
3524,Anja Wrede,0,0,0,0,0,0,0,0,0,2,0,2,0,0,0,0,0.0,2,272
4543,Jürgen Lange,0,0,0,0,0,0,0,0,0,2,0,2,0,0,0,0,0.0,2,272
12731,Kirsten Hiese,0,0,0,0,0,0,0,0,0,2,0,2,0,0,0,0,0.0,2,272
1018,Andreas Steding,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,7.46514,1,276
77890,Mikkel Bertelsen,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,7.24701,1,277
3302,Gord!,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,7.23251,1,278
9495,Seiji Kanai,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,7.12865,1,279
133522,François Romain,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,7.1205,1,280
37,Karsten Hartwig,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,7.10589,1,281
3526,Carl de Visser,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,7.03816,1,282
9733,Jarratt Gray,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,7.03816,1,282
1318,Hervé Marly,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,7.02212,1,284
116182,Molly Johnson,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,6.97053,1,285
116181,Robert Melvin,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,6.97053,1,285
116180,Shawn Stankewich,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,6.97053,1,285
144139,Jules Messaud,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,6.95668,1,288
43202,Joshua Buergel,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,6.90225,1,289
69462,Akihisa Okui,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,6.89571,1,290
13391,Gavin Birnbaum,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,6.89483,1,291
8097,Malcolm Braff,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,6.88518,1,292
12461,Bruce Allen,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,6.85581,1,293
4063,Kristian Amundsen Østby,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,6.7803,1,294
61330,Emerson Matsuuchi,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,6.73,1,295
1001,Bernard Tavitian,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,6.71761,1,296
78199,Alexandr Ushan,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,6.64703,1,297
76227,Dávid Turczi,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,6.63643,1,298
35005,Vangelis Bagiartakis,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,6.63643,1,298
80,Duccio Vitale,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,6.61952,1,300
72460,Justin Kemppainen,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,6.61952,1,300
111439,Győri Zoltán Gábor,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,6.6139,1,302
85851,Connor Reid,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,6.60757,1,303
264,Gerd Fenchel,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,6.58267,1,304
2815,Alvydas Jakeliunas,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,6.57875,1,305
75618,Aya Taguchi,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,6.57264,1,306
75617,Shun Taguchi,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,6.57264,1,306
921,Blaise Muller,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,6.55626,1,308
49,Philippe Keyaerts,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,6.53245,1,309
82544,佐藤 雄介 (Yusuke Sato),0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,6.40323,1,310
2118,Stephen Glenn,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,6.36801,1,311
2286,Stefan Kögl,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,6.34851,1,312
2432,Francesco Rotta,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,6.26313,1,313
455,Hagen Dorgathen,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,6.25456,1,314
5766,Stefan Risthaus,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,6.24365,1,315
114258,Luka Krleža,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,6.22106,1,316
102,Laurent Levi,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,6.21813,1,317
67071,David Thompson (I),0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,6.20047,1,318
4923,Christoph Cantzler,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,6.19215,1,319
10183,Din Li Tsan,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,6.19204,1,320
153553,Marcus Carleson,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,6.14916,1,321
366,John Bohrer,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,6.13332,1,322
3233,Brian Hersch,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,6.13093,1,323
5168,Andrew Plotkin,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,6.12899,1,324
6959,Dimitry Davidoff,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,6.12899,1,324
12779,Matthias Schmitt,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,6.1032,1,326
5363,Thomas Odenhoven,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,6.1032,1,326
87,Wolfgang Lüdtke,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,6.10156,1,328
2201,Kory Heath,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,6.09735,1,329
69099,Francisco Gallego Arredondo,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,5.98619,1,330
108574,Josep Izquierdo Sánchez,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,5.98619,1,330
108743,Martí Lucas Feliu,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,5.98619,1,330
41794,Gary Kim,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,5.98077,1,333
43874,Lauge Luchau,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,5.98037,1,334
3772,Erik Nielsen,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,5.96581,1,335
2729,Stefano Luperto,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,5.95985,1,336
488,H. Jean Vanaise,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,5.93984,1,337
111159,Christof Schilling,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,5.88528,1,338
111158,Dr. Hans Joachim Höh,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,5.88528,1,338
42256,Andreas Kuhnekath,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,5.87833,1,340
20996,Elena Prette,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,5.86391,1,341
20997,Marianna Fulvi,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,5.86391,1,341
9369,Martyn F,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,5.85571,1,343
116981,Jeremy Posner,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,5.84745,1,344
904,Claude Soucie,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,5.8359,1,345
139,Horst-Rainer Rösner,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,5.81934,1,346
3004,André Zatz,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,5.81305,1,347
3005,Sérgio Halaban,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,5.81305,1,347
1307,Brigitte Ditt,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,5.8034,1,349
1308,Wolfgang Ditt,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,5.8034,1,349
165,Mick Ado,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,5.79821,1,351
60012,Patrick Zuidhof,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,5.79428,1,352
49795,Ronald Hoekstra,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,5.79428,1,352
3973,Thomas Jansen,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,5.79428,1,352
3569,Eiji Wakasugi,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,5.79261,1,355
59211,Hiroaki Suzuki,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,5.79261,1,355
3082,Jeff Smets,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,5.78734,1,357
3548,R. Wayne Schmittberger,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,5.78734,1,357
11797,Christof Tisch,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,5.76683,1,359
180,Bertram Kaes,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,5.76434,1,360
57468,Frank Bebenroth,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,5.75805,1,361
108002,Dave Neale,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,5.75235,1,362
6076,Christian Fiore,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,5.75148,1,363
5930,Knut Happel,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,5.75148,1,363
8679,Heinz Wüppen,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,5.75132,1,365
12705,Wesly Gibs,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,5.73979,1,366
200,Ben van Dijk,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,5.73178,1,367
199,Wil Dijkstra,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,5.73178,1,367
331,Wolfgang Werner,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,5.72255,1,369
218,Frederick A. Herschler,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,5.71151,1,370
45,Gilles Monnet,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,5.69822,1,371
125005,Cécile Ziégler,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,5.69084,1,372
125003,Julie Dutois,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,5.69084,1,372
125004,Ludovic Simonet,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,5.69084,1,372
7204,David D'Arcey,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,5.68793,1,375
382,Frank Thibault,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,5.68793,1,375
8384,"G. W. ""Jerry"" D'Arcey",0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,5.68793,1,375
1214,Pierre Jacquot,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,5.68769,1,378
219,Philippe des Pallières,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,5.67796,1,379
90042,Daniel Fehr,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,5.66441,1,380
146537,Tristan Williams,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,5.65287,1,381
1126,Christian Freeling,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,5.64654,1,382
2328,Roland Goslar,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,5.64311,1,383
2327,Tobias Goslar,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,5.64311,1,383
2077,Claude Weber,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,5.63861,1,385
3063,Dieter Stein,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,5.63741,1,386
1205,Manfred Schuling,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,5.61069,1,387
52026,Antonio Scrittore,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,5.60926,1,388
245,Ron Dubren,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,5.59841,1,389
114,Hanno Kuhn,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,5.59791,1,390
115,Wilfried Kuhn,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,5.59791,1,390
29035,Hans-Peter Stoll,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,5.57484,1,392
193,Reinhard Herbert,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,5.56618,1,393
862,Björn Hölle,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,5.54733,1,394
5866,Adam Ritchey,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,5.54729,1,395
513,Elke Flogaus,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,5.54467,1,396
511,Kurt Feyerabend,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,5.54467,1,396
287,Michael Gray,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,5.54195,1,398
4363,Teruo Matsumoto,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,5.54195,1,398
74724,Frank Warneke,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,5.54164,1,400
74723,Robert Witter,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,5.54164,1,400
1336,Michael Sohre,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,5.54157,1,402
28051,A. Robert Moog,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,5.53565,1,403
1390,Scott A. Mednick,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,5.53565,1,403
34,Bill Eberle,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,5.53254,1,405
35,Jack Kittredge,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,5.53254,1,405
36,Peter Olotka,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,5.53254,1,405
4323,Mario Papini,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,5.53203,1,408
425,Werner Falkhof,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,5.52576,1,409
1429,Detlef Wendt,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,5.52565,1,410
430,Herbert Schützdeller,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,5.51946,1,411
387,Walter Ziser,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,5.51714,1,412
45564,Ralf-Peter Gebhardt,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,5.51632,1,413
814,Karsten Adlung,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,5.51522,1,414
581,Michael Rüttinger,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,5.51353,1,415
1356,Michael K. Lorrigan,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,5.51352,1,416
1355,S. Ray,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,5.51352,1,416
538,André François,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,5.51319,1,418
40631,Julien Sentis,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,5.50751,1,419
6305,Frank Dyksterhuis,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,5.50557,1,420
6304,Mark Wood,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,5.50557,1,420
1388,Duilio Carpitella,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,5.50314,1,422
1176,Charles Lerue,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,5.50206,1,423
397,Richard K Morgan,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,5.50109,1,424
782,Christian Raffeiner,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,5.49944,1,425
783,Helmut Walch,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,5.49944,1,425
855,Andreas Steiner,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,5.49458,1,427
2114,Wayne Bobette,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,5.49121,1,428
146,Helga Huber,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,5.48052,1,429
147,Hermann Huber,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,5.48052,1,429
911,Brian Taylor,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,5.46304,1,431
912,Peter Forbes,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,5.46304,1,431
11050,Howard J. Morrison,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,5.06668,1,433
11051,Lenny Cope,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,5.06668,1,433
6430,Ralph Baer,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,5.06668,1,433
2819,David Wells,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0.0,1,436
377,Gilbert Obermair,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0.0,1,436
5307,Hans-Jörg Nürnberger,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0.0,1,436
159,Henri Sala,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0.0,1,436
5339,Kenneth Rand,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0.0,1,436
1147,Knut-Michael Wolf,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0.0,1,436
839,Marco Donadoni,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0.0,1,436
5340,Norbert Lechleitner,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0.0,1,436
2684,Oded Berman,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0.0,1,436
523,Peter Lewe,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0.0,1,436
1480,Peter Pallat,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0.0,1,436
5281,Rudolf Schweikert,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0.0,1,436
5280,Wilfried Bauer,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0.0,1,436
138517,Mathias Wigge,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,8.33293,1,449
69802,Isaac Childres,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,8.17176,1,450
4407,Helge Ostertag,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,7.89979,1,451
4300,Jens Drögemüller,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,7.89979,1,451
108836,Tommaso Battista,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,7.8479,1,453
9307,Vladimír Suchý,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,7.78719,1,454
1533,Eric M. Lang,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,7.76003,1,455
126022,Jenny Iglesias,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,7.61732,1,456
88122,Kevin Riley,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,7.61732,1,456
72770,Nick Little (I),0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,7.61732,1,456
2748,Helmut Ohley,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,7.49323,1,459
1828,"Leonhard ""Lonny"" Orgler",0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,7.49323,1,459
43218,Yohan Lemonnier,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,7.31396,1,461
52377,Nestore Mangone,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,7.06821,1,462
139861,Christian Kudahl,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,7.02758,1,463
139860,Marvin Hegen,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,7.02758,1,463
14,Richard Garfield,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,7.02758,1,463
118,Skaff Elias,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,7.02758,1,463
38335,Sébastien Dujardin,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,6.94201,1,467
79931,Fabien Riffaud,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,6.90411,1,468
2098,Juan Rodriguez,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,6.90411,1,468
76530,Martino Chiacchiera,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,6.72129,1,470
117987,Head Quarter Simulation Game Club,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,6.70192,1,471
105994,Claudia Partenheimer,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,6.61181,1,472
105995,Ralf Partenheimer,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,6.61181,1,472
51590,Greg Daigle,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,6.60639,1,474
76303,Masato Uesugi,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,6.5654,1,475
75577,Maxime Rambourg,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,6.54873,1,476
52007,Hope S. Hwang,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,6.43022,1,477
2762,Emanuele Ornella,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,6.03236,1,478
63813,Kalle Krenzer,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,5.96387,1,479
77911,Jochen Scherer,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,5.9234,1,480
51251,Martin Kallenborn,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,5.9234,1,480
109544,Colt Tipaton-Johnson,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,6.56826,1,482
27808,Marisa Peña,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,6.56826,1,482
105688,Shanon Lyon,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,6.56826,1,482
5114,Miranda Evarts,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,6.10444,1,485
51522,Emely Brand,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,6.0877,1,486
51523,Lukas Brand,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,6.0877,1,486
77649,Jean-François Rochas,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,5.99568,1,488
57953,Nicolas Bourgoin,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,5.99568,1,488
4369,Chris Childs,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,5.73879,1,490
4368,Tony Richardson,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,5.73879,1,490
567,Peter Sarrett,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,5.66782,1,492
3247,Roberto Di Meglio,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,5.63281,1,493
68072,Quentin Weir,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,5.62513,1,494
8045,Josep M. Allué,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,5.62309,1,495
84067,Roméo Hennion,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,5.57269,1,496
102038,Erwan Morin,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,5.56878,1,497
54144,Joel Escalante,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,5.5685,1,498
54143,Rafael Escalante,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,5.5685,1,498
35250,Bastiaan Brederode,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,5.55637,1,500
22684,Cephas Howard,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,5.55637,1,500
64265,Jérémy Peytevin,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,5.54979,1,502
11333,Christian Sovis,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,5.54749,1,503
3779,Sonja Häßler,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,5.54539,1,504
8103,Christian Lemay,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,5.54193,1,505
78797,Florian Sirieix,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,5.54188,1,506
6818,Flaminia Brasini,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,5.53566,1,507
48170,Marco Pranzo,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,5.53566,1,507
6817,Virginio Gigli,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,5.53566,1,507
