bgg_id,name,year,award,winner,nominated,recommended,sonderpreis,bayes_rating,designer
478,Citadels,2000,spiel,False,True,True,,6.94743,125
481,Carolus Magnus,2000,spiel,False,True,True,,6.34747,138
485,Galloping Pigs,1992,kinder,True,True,True,,5.58667,256
491,Web of Power,2000,spiel,False,False,True,,6.6134,86
499,Arbos,1999,kinder,True,True,True,,5.63793,259
499,Arbos,1999,kinder,True,True,True,,5.63793,260
503,Through the Desert,1998,spiel,False,False,True,,6.88036,2
504,Die Verbotene Stadt,1992,spiel,False,False,True,,5.53844,24
504,Die Verbotene Stadt,1992,spiel,False,False,True,,5.53844,233
526,Abalone,1987,spiel,False,False,True,,6.21813,101
526,Abalone,1987,spiel,False,False,True,,6.21813,102
527,GIPF,1996,spiel,False,False,True,,6.47416,244
528,ZÈRTZ,1999,spiel,False,False,True,,6.67324,244
530,Entenrallye,1988,spiel,False,False,True,,5.51648,254
536,Visionary,1997,spiel,False,False,True,,5.59841,245
539,Dampfross,1979,spiel,True,True,True,,5.70048,250
540,Sisimizi,1996,spiel,False,False,True,,5.58586,24
545,Kaleidos,1994,spiel,False,False,True,,5.86391,190
545,Kaleidos,1994,spiel,False,False,True,,5.86391,20997
545,Kaleidos,1994,spiel,False,False,True,,5.86391,20996
550,Barbarossa,1988,spiel,True,True,True,,5.82971,11
554,La Città,2000,spiel,False,False,True,,6.58267,264
559,Metro,1997,spiel,False,False,True,,6.13998,60
565,Port Royal,2000,spiel,False,False,True,,5.55041,249
569,Maestro,1989,spiel,False,False,True,,5.5268,154
585,Kardinal,2000,spiel,False,False,True,,5.567,249
593,Favoriten,1989,spiel,False,False,True,,5.57662,254
634,River Dragons,2000,spiel,False,False,True,,6.11898,285
681,Quarto,1991,spiel,False,False,True,,6.55626,921
691,Timbuktu,1993,spiel,False,False,True,,6.04614,60
697,Conspiracy,1973,spiel,False,False,True,,5.67423,104
766,Regatta,1967,spiel,False,False,True,,5.68793,8384
766,Regatta,1967,spiel,False,False,True,,5.68793,7204
766,Regatta,1967,spiel,False,False,True,,5.68793,382
787,Palermo,1992,spiel,False,False,True,,5.51714,387
789,Focus,1963,spiel,True,True,True,,5.77696,4
811,Rummikub,1977,spiel,True,True,True,,6.27712,634
821,La Trel,1994,spiel,False,False,True,,5.50109,397
822,Carcassonne,2000,spiel,True,True,True,,7.29756,398
823,The Lord of the Rings,2000,spiel,False,False,False,Literary Game,6.55838,2
826,Cartagena,2000,spiel,False,False,True,,6.42728,138
841,Razzia,1992,spiel,False,False,True,,5.62126,13
877,Troia,2000,spiel,False,False,False,Historical Game,5.50621,176
906,Abilene,1983,spiel,False,False,True,,5.52634,365
923,Breakaway Rider,1963,spiel,False,False,True,,5.68769,1214
925,Werewolf,1986,spiel,False,False,True,,6.12899,6959
925,Werewolf,1986,spiel,False,False,True,,6.12899,5168
932,Top Race,1996,spiel,False,False,True,,5.99996,7
933,New Orleans Big Band,1990,spiel,False,False,True,,5.51946,430
938,Enchanted Forest,1981,spiel,True,True,True,,5.60825,432
938,Enchanted Forest,1981,spiel,True,True,True,,5.60825,24
949,Twixt,1962,spiel,False,False,True,,6.08686,24
963,The Gardens of the Alhambra,1993,spiel,False,False,True,,5.75225,60
986,Babel,2000,spiel,False,False,True,,6.25456,455
986,Babel,2000,spiel,False,False,True,,6.25456,10
988,Zapp Zerapp,2000,spiel,False,True,True,,5.61703,256
988,Zapp Zerapp,2000,spiel,False,True,True,,5.61703,267
1012,Die Magier,1985,spiel,False,False,True,,5.51353,233
