bgg_id,name,year,award,winner,nominated,recommended,sonderpreis,bayes_rating,designer
1,Die Macher,1986,spiel,False,False,True,,6.97989,1
5,Acquire,1963,spiel,False,False,True,,7.12864,4
9,El Caballero,1998,spiel,False,False,True,,5.84818,7
9,El Caballero,1998,spiel,False,False,True,,5.84818,8
10,Elfenland,1998,spiel,True,True,True,,6.4163,9
11,Bohnanza,1997,spiel,False,False,True,,6.96218,10
13,Catan,1995,spiel,True,True,True,,6.90226,11
14,Basari,1998,spiel,False,False,True,,6.03292,12
19,Wacky Wacky West,1991,spiel,True,True,True,,5.85178,11
38,Runes,1981,spiel,False,False,True,,5.52717,34
38,Runes,1981,spiel,False,False,True,,5.52717,35
38,Runes,1981,spiel,False,False,True,,5.52717,36
41,Can't Stop,1980,spiel,False,False,True,,6.79005,4
42,Tigris & Euphrates,1997,spiel,False,False,True,,7.50567,2
44,David & Goliath,1997,spiel,False,False,True,,5.93227,12
45,Perudo,1800,spiel,True,True,True,,6.72563,25
46,Medici,1995,spiel,False,False,True,,6.82914,2
47,Chinatown,1999,spiel,False,False,True,,7.10772,37
49,Mamma Mia!,1998,spiel,False,False,True,,6.21235,10
54,Tikal,1999,spiel,True,True,True,,7.10709,42
54,Tikal,1999,spiel,True,True,True,,7.10709,7
57,Schoko & Co.,1987,spiel,False,False,True,,5.67804,44
57,Schoko & Co.,1987,spiel,False,False,True,,5.67804,45
59,Giganten,1999,spiel,False,True,True,,5.95803,48
60,Vinci,1999,spiel,False,False,True,,6.47022,49
66,Löwenherz,1997,spiel,False,False,True,,6.33521,11
72,Verräter,1998,spiel,False,False,True,,6.04166,59
73,Show Manager,1996,spiel,False,False,True,,6.1378,60
88,Torres,1999,spiel,True,True,True,,6.74249,42
88,Torres,1999,spiel,True,True,True,,6.74249,7
93,El Grande,1995,spiel,True,True,True,,7.59248,7
93,El Grande,1995,spiel,True,True,True,,7.59248,8
94,Union Pacific,1999,spiel,False,True,True,,6.59505,9
110,Auf Achse,1987,spiel,True,True,True,,5.82675,7
112,Condottiere,1995,spiel,False,False,True,,6.62145,79
112,Condottiere,1995,spiel,False,False,True,,6.62145,80
112,Condottiere,1995,spiel,False,False,True,,6.62145,72460
115,I'm the Boss!,1994,spiel,False,False,True,,6.28624,4
117,Ta Yü,1999,spiel,False,False,True,,6.07315,83
118,Modern Art,1992,spiel,False,False,True,,7.33131,2
120,Hoity Toity,1990,spiel,True,True,True,,6.19431,11
122,Quo Vadis?,1992,spiel,False,False,True,,5.98878,2
125,Money!,1999,spiel,False,False,True,,6.16307,2
128,Take it Easy!,1983,spiel,False,False,True,,6.13173,84
132,Caesar & Cleopatra,1997,spiel,False,False,True,,6.08614,87
135,Kontor,1999,spiel,False,False,True,,5.61568,86
145,Metropolis,1984,spiel,False,False,True,,5.61923,4
150,PitchCar,1995,spiel,False,False,False,Dexterity Game,6.97778,5
152,Mü & More,1995,spiel,False,False,True,,6.27225,74
152,Mü & More,1995,spiel,False,False,True,,6.27225,75
155,Was sticht?,1993,spiel,False,False,True,,5.83497,1
175,What the Heck?,1988,spiel,False,False,True,,6.02635,24
196,Kremlin,1986,spiel,False,False,True,,6.29563,172
199,Manhattan,1994,spiel,True,True,True,,6.37514,117
202,Targui,1988,spiel,False,False,True,,5.71145,199
202,Targui,1988,spiel,False,False,True,,5.71145,200
214,Café International,1989,spiel,True,True,True,,5.88609,154
217,A la carte,1989,spiel,False,True,True,,6.04767,1
223,Expeditions: Around the World,1996,spiel,False,False,True,,6.03098,7
247,Gloria Picktoria,1996,spiel,False,False,True,,5.76771,165
247,Gloria Picktoria,1996,spiel,False,False,True,,5.76771,9
256,Mississippi Queen,1997,spiel,True,True,True,,6.01569,130
263,Manitou,1997,spiel,False,False,True,,5.5864,173
267,Tycoon,1998,spiel,False,False,True,,5.78622,7
267,Tycoon,1998,spiel,False,False,True,,5.78622,139
278,Catan Card Game,1996,spiel,False,False,True,,6.48189,11
300,Tutankhamen,1993,spiel,False,False,True,,5.72382,2
301,Campanile,1996,spiel,False,False,True,,5.58929,114
301,Campanile,1996,spiel,False,False,True,,5.58929,115
302,Forum Romanum,1988,spiel,False,False,True,,5.72079,7
314,Highlanders,1993,spiel,False,False,True,,5.55773,193
321,The Mole in the Hole,1995,spiel,False,False,True,,5.76063,179
321,The Mole in the Hole,1995,spiel,False,False,True,,5.76063,180
322,Tonga Bonga,1998,spiel,False,False,True,,5.72538,13
327,Loopin' Louie,1992,kinder,True,True,True,,6.47462,83763
327,Loopin' Louie,1992,kinder,True,True,True,,6.47462,137
340,Frank's Zoo,1999,spiel,False,False,True,,6.1824,74
340,Frank's Zoo,1999,spiel,False,False,True,,6.1824,75
356,Ab die Post!,1996,spiel,False,False,True,,5.48281,146
356,Ab die Post!,1996,spiel,False,False,True,,5.48281,147
361,Hare & Tortoise,1973,spiel,True,True,True,,6.24082,166
382,Heimlich & Co.,1984,spiel,True,True,True,,6.10748,7
394,Kahuna,1998,spiel,False,False,True,,6.38287,132
401,Gold Connection,1992,spiel,False,False,True,,5.5601,4
428,Galopp Royal,1995,spiel,False,False,True,,5.53768,11
432,Take 5,1994,spiel,False,False,True,,6.85877,7
433,Shark,1987,spiel,False,False,True,,5.9134,488
436,Canyon,1997,spiel,False,False,True,,5.70093,218
437,Master Labyrinth,1991,spiel,False,False,True,,5.91536,217
438,Scotland Yard,1983,spiel,True,True,True,,6.3432,4088
438,Scotland Yard,1983,spiel,True,True,True,,6.3432,5491
438,Scotland Yard,1983,spiel,True,True,True,,6.3432,5495
438,Scotland Yard,1983,spiel,True,True,True,,6.3432,5492
438,Scotland Yard,1983,spiel,True,True,True,,6.3432,5493
438,Scotland Yard,1983,spiel,True,True,True,,6.3432,5490
442,Um Reifenbreite,1979,spiel,True,True,True,,6.14795,210
443,Code 777,1985,spiel,False,False,True,,6.0689,221
443,Code 777,1985,spiel,False,False,True,,6.0689,24
444,Escape from the Hidden Castle,1989,spiel,False,False,True,,5.82608,7
445,Die Osterinsel,1994,spiel,False,False,True,,5.53245,138
