bgg_id,representative_id
174430,174430
224517,224517
161936,161936
342942,342942
233078,233078
167791,167791
316554,316554
115746,115746
291457,174430
162886,162886
187645,187645
363622,363622
220308,220308
12333,12333
182028,182028
169786,169786
167355,167355
84876,363622
173346,173346
193738,193738
246900,246900
205637,205637
248562,248562
266192,266192
295770,174430
237182,237182
177736,177736
397598,316554
28720,224517
312484,312484
124361,124361
120677,220308
271320,363622
199792,199792
96848,248562
192135,192135
266507,266507
341169,193738
164928,164928
285774,285774
55690,55690
183394,183394
251247,251247
3076,3076
366013,366013
324856,324856
251661,251661
170216,170216
295947,295947
31260,31260
205059,205059
102794,31260
175914,175914
256960,256960
247763,247763
373106,373106
185343,185343
253344,253344
184267,184267
521,521
255984,255984
164153,164153
2651,2651
321608,321608
126163,126163
284378,284378
244521,244521
231733,231733
124742,124742
221107,161936
182874,182874
161533,161533
314040,161936
230802,230802
35677,35677
216132,216132
266810,266810
284083,324856
276025,276025
200680,31260
201808,266507
28143,28143
125153,125153
209010,209010
157354,157354
264220,264220
110327,110327
72125,246900
191189,191189
68448,173346
121921,121921
146021,146021
229853,229853
269385,269385
37111,37111
93,93
383179,220308
155821,155821
171623,171623
62219,62219
25613,182028
317985,317985
159675,159675
365717,266507
180263,180263
236457,236457
277659,277659
225694,225694
36218,36218
40834,36218
291453,291453
18602,18602
279537,279537
240980,240980
205896,205896
42,42
371942,371942
170042,170042
332772,332772
12493,233078
163412,163412
364073,364073
163068,163068
366161,266192
217372,217372
322289,322289
122515,122515
73439,73439
30549,161936
286749,286749
178900,178900
325494,325494
310100,167355
310873,310873
203993,203993
271055,271055
12,12
266524,266524
14996,14996
102680,102680
172386,172386
256916,124361
463,463
77423,77423
144733,144733
414317,414317
338960,338960
147020,147020
281259,281259
108687,3076
175155,175155
233371,266507
172287,172287
337627,337627
103885,103885
227935,227935
132531,28143
254640,254640
34635,34635
263918,263918
43015,286749
161970,161970
198928,161936
262712,262712
359871,359871
4098,4098
104162,164153
271324,271324
118048,118048
218417,191189
188920,188920
196340,196340
283355,283355
2511,2511
54043,54043
410201,266192
103343,103343
268864,268864
220877,220877
328871,167791
189932,189932
127023,127023
148949,148949
175640,175640
146652,146652
421006,173346
329082,329082
249259,249259
380607,193738
209418,36218
822,93
39463,39463
188,463
233867,233867
82222,82222
10630,10630
244522,244522
128882,128882
233398,233398
304783,304783
274364,274364
271896,271896
148228,364073
199561,199561
294484,294484
239188,239188
350184,350184
332398,199792
390092,14996
150376,150376
160069,14996
308765,308765
282524,282524
296151,296151
43111,43111
188834,188834
9209,14996
154597,154597
155426,155426
9609,115746
227224,227224
265188,265188
300531,300531
176189,176189
129437,146652
235802,192135
287954,230802
283948,171623
258779,258779
314491,314491
242302,242302
396790,396790
316377,173346
118,118
285967,285967
171131,171131
31627,14996
104006,104006
54998,54998
339789,233867
123260,123260
17133,4098
283155,283155
215,215
374173,374173
256680,256680
221194,221194
269207,269207
70149,70149
192291,192291
198994,147020
293014,293014
14105,14105
331106,331106
306735,306735
25021,25021
182631,147020
156129,156129
274637,294484
260605,260605
194655,194655
195421,195421
199478,199478
224037,178900
245638,245638
158600,158600
232832,232832
223040,223040
126042,126042
295486,295486
286096,286096
359609,205637
257499,146021
169426,169426
299659,299659
223321,223321
176494,176494
364011,193738
7854,7854
391163,391163
232405,232405
91,91
555,555
318977,318977
165722,165722
146508,146508
204583,204583
241451,191189
31481,31481
291572,291572
146886,146886
2655,154597
3,3
285192,285192
21050,21050
20551,20551
224783,224783
92828,92828
305096,305096
19857,19857
298047,298047
155068,155068
128621,183394
332686,332686
9216,9216
108745,108745
228341,228341
760,760
140620,140620
139976,139976
129622,463
160477,160477
50,50
242705,242705
27708,27708
150145,150145
300322,300322
2653,2653
109276,284378
323612,323612
311193,311193
246784,246784
230914,93
46213,46213
244271,244271
40692,40692
206718,206718
336986,336986
199042,199042
5,5
127060,127060
277085,463
154203,154203
230253,147020
367220,367220
209685,232832
329841,14996
15987,146021
284653,284653
39856,92828
27833,4098
181279,181279
163967,163967
172,172
302723,302723
38453,38453
