           ,   coef   , std err ,    t    ,P>|t| ,  [0.025 ,  0.975] 
const      ,    6.4391,    0.006, 1063.271, 0.000,    6.427,    6.451
cooperative,    0.4582,    0.021,   22.044, 0.000,    0.417,    0.499
