game_id,bgg_id,name,num_all_matches,num_connected_matches,num_all_players,num_connected_players,num_regular_players,num_max_matches,two_player_only,elo_k,std_dev,p_deterministic
1882,280453,Masters of Renaissance: Lorenzo il Magnifico – The Card Game,5342,4380,3332,2085,53,203,false,69.3,149.1,0.58
1104,163920,Gaïa,52696,38723,24524,10451,647,1947,false,53.1,149.1,0.58
2095,328378,Tulip & Rose,547,318,1039,469,3,72,false,115.8,149.0,0.58
2071,210296,DinoGenics,21784,17273,10532,5888,339,526,false,58.5,148.9,0.58
1995,15157,Amazonas,1449,893,1893,770,11,118,false,83.2,148.8,0.58
2369,155426,Castles of Mad King Ludwig,55591,46541,21903,12353,1074,1471,false,54.5,148.5,0.58
2077,402106,Power Vacuum,1410,783,2043,795,10,97,false,60.6,148.0,0.58
63,1419,Pylos,94775,62885,40713,14576,838,2502,true,52.7,148.0,0.58
1876,380134,Orion Duel,41091,30650,11017,5003,499,973,true,46.9,147.9,0.58
1668,559,Metro,41244,35105,12871,7937,692,808,false,49.5,147.5,0.58
1924,167791,Terraforming Mars,2961204,2893505,206183,166256,38058,5591,false,32.2,147.4,0.58
1910,308119,Pax Renaissance,64550,62118,8369,5967,1064,2541,false,42.3,147.3,0.58
1987,355788,Chemical Overload,10687,8377,5077,2634,134,315,false,60.2,147.0,0.58
14,3076,Puerto Rico,788122,763693,89234,64340,9815,11399,false,35.6,146.8,0.58
2477,383117,Cathood,3577,2193,3346,1385,22,143,false,107.2,146.7,0.58
1760,230089,Okanagan: Valley of the Lakes,2512,1695,2371,1097,23,118,false,68.3,146.6,0.58
2015,303734,Golems,703,329,797,230,4,62,true,92.9,146.5,0.58
2009,398898,High Season,23187,20503,9003,5602,347,870,false,51.6,146.2,0.58
1418,41149,Linkage,21320,14649,7171,2736,222,3186,true,41.3,145.6,0.58
1276,4390,Carcassonne: Hunters & Gatherers,377297,334124,81048,34710,2851,11082,false,29.6,145.5,0.57
1595,360266,Draft Cider,4847,2987,3864,1081,34,429,false,41.1,145.4,0.57
1047,302238,Crazy Farmers,46811,30874,26888,9607,530,1190,false,56.3,145.2,0.57
2263,319910,Pagan: Fate of Roanoke,13351,9501,7134,3247,140,239,true,63.2,145.1,0.57
1747,184921,Bunny Kingdom,311795,293637,40219,27400,5289,4470,false,43.5,145.0,0.57
1913,327711,It's a Wonderful Kingdom,16903,10812,11104,4582,131,338,true,52.9,144.8,0.57
1193,214880,City of the Big Shoulders,25545,21504,13500,9170,534,646,false,75.8,144.7,0.57
1147,206327,The King's Guild,79021,64925,33285,16999,1032,3835,false,49.3,144.7,0.57
1716,375553,Diceathlon,19462,14455,13179,6160,229,690,false,58.1,144.6,0.57
1444,311918,Lost Explorers,6364,4113,5777,2278,60,269,false,72.2,144.6,0.57
1115,132531,Roll for the Galaxy,629143,602073,51475,33936,5291,13612,false,24.6,144.5,0.57
1196,194655,Santorini,561689,453350,139328,65707,5628,9253,false,38.6,144.3,0.57
1546,256839,VektoRace,18981,16260,9901,5409,431,1288,false,67.5,144.1,0.57
2266,427260,Living Forest Duel,23394,18663,9032,4426,301,508,true,48.2,143.9,0.57
1265,40446,Indian Chief,1330,949,737,406,19,139,false,40.6,143.6,0.57
