bgg_id,name,comment
242529,Medium,From article </Users/markus/Workspace/recommend-games-blog/content/posts/sdj_2020/index.md>
269752,Noctiluca,From article </Users/markus/Workspace/recommend-games-blog/content/posts/sdj_2020/index.md>
251412,On Tour,From article </Users/markus/Workspace/recommend-games-blog/content/posts/sdj_2020/index.md>
266524,PARKS,From article </Users/markus/Workspace/recommend-games-blog/content/posts/sdj_2020/index.md>
274960,Point Salad,From article </Users/markus/Workspace/recommend-games-blog/content/posts/sdj_2020/index.md>
266830,Q.E.,From article </Users/markus/Workspace/recommend-games-blog/content/posts/sdj_2020/index.md>
274093,Quirky Circuits,From article </Users/markus/Workspace/recommend-games-blog/content/posts/sdj_2020/index.md>
267319,Roam,From article </Users/markus/Workspace/recommend-games-blog/content/posts/sdj_2020/index.md>
271869,Sushi Roll,From article </Users/markus/Workspace/recommend-games-blog/content/posts/sdj_2020/index.md>
264220,Tainted Grail: The Fall of Avalon,From article </Users/markus/Workspace/recommend-games-blog/content/posts/sdj_2020/index.md>
286096,Tapestry,From article </Users/markus/Workspace/recommend-games-blog/content/posts/sdj_2020/index.md>
270138,Terror Below,From article </Users/markus/Workspace/recommend-games-blog/content/posts/sdj_2020/index.md>
283864,Trails of Tucana,From article </Users/markus/Workspace/recommend-games-blog/content/posts/sdj_2020/index.md>
281259,The Isle of Cats,From article </Users/markus/Workspace/recommend-games-blog/content/posts/sdj_2020/index.md>
257614,Tussie Mussie,From article </Users/markus/Workspace/recommend-games-blog/content/posts/sdj_2020/index.md>
247342,Village Pillage,From article </Users/markus/Workspace/recommend-games-blog/content/posts/sdj_2020/index.md>
295486,My City,From article </Users/markus/Workspace/recommend-games-blog/content/posts/sdj_2020_2/index.md>
223742,Colour Brain,From article </Users/markus/Workspace/recommend-games-blog/content/posts/sdj_2020_2/index.md>
221965,The Fox in the Forest,From article </Users/markus/Workspace/recommend-games-blog/content/posts/sdj_2020_2/index.md>
241266,Little Town,From article </Users/markus/Workspace/recommend-games-blog/content/posts/sdj_2020_2/index.md>
299169,Spicy,From article </Users/markus/Workspace/recommend-games-blog/content/posts/sdj_2020_2/index.md>
6819,Skat,From article </Users/markus/Workspace/recommend-games-blog/content/posts/sdj_2020_2/index.md>
9364,Doppelkopf,From article </Users/markus/Workspace/recommend-games-blog/content/posts/sdj_2020_2/index.md>
227789,Heaven & Ale,From article </Users/markus/Workspace/recommend-games-blog/content/posts/sdj_2020_2/index.md>
167791,Terraforming Mars,From article </Users/markus/Workspace/recommend-games-blog/content/posts/sdj_2020_2/index.md>
247763,Underwater Cities,From article </Users/markus/Workspace/recommend-games-blog/content/posts/sdj_2020_2/index.md>
188,Go,From article </Users/markus/Workspace/recommend-games-blog/content/posts/sdj_2020_3/index.md>
254640,Just One,From article </Users/markus/Workspace/recommend-games-blog/content/posts/sdj_2020_3/index.md>
131260,Qwixx,From article </Users/markus/Workspace/recommend-games-blog/content/posts/sdj_2020_3/index.md>
