bgg_id,name,year
5437,Raid on Iran,1980
7938,The Battle of Prague,1980
4147,Spellbinder,1980
4275,Pea Ridge: The Gettysburg of the West March 7-8 1862,1980
8887,Battle for Stalingrad,1980
2599,Valkenburg Castle,1980
7566,The War of the Worlds,1980
9577,"Across Suez: The Battle of the Chinese Farm October 15, 1973",1980
4215,One-Page Bulge,1980
6918,1940,1980
2214,Saga,1980
2376,The Wreck of the B.S.M. Pandora,1980
4839,Berlin '85: The Enemy at the Gates,1980
3393,Public Assistance,1980
2160,Robots!,1980
4271,Artifact,1980
3901,Sturm Nach Osten,1980
7365,"Wilson's Creek: The West's First Fight, August 10, 1861",1980
8721,Hof Gap: The Nurnberg Pincer,1980
3036,Kung Fu 2100,1980
4291,"Armor: A Tactical Game of Armored Combat in Western Europe, 1944-1945",1980
7109,Fifth Corps: The Soviet Breakthrough at Fulda,1980
4289,88: A Tactical Game of Armored Combat on the North African Front,1980
1982,Black Spy,1981
2952,Trivial Pursuit: Genus Edition,1981
477,The Broadway Game,1981
98,Axis & Allies,1981
6983,Jungle,1981
193,Fill or Bust,1981
139,Hoax,1981
5082,Rush Hour,1981
9177,Armchair Cricket,1981
9681,Nosey Neighbor Card Game,1981
487,Power,1981
6109,Mafia,1981
30640,Rio,1981
721,Oregon Trail,1981
4268,Razzle,1981
6909,Fief,1981
6044,Attila: The Huns Invasion,1981
30,Dark Tower,1981
6053,Little Big Horn,1981
6054,Norge: The First Battle Between the Germans and the Allies,1981
6125,Austerlitz: The Battle of the 3 Emperors,1981
1323,Cry Havoc,1981
6937,1829 Northern Board,1981
27552,Élve fogd el,1981
7811,Stranded,1981
6129,Jena: Napoleon's Victories and Defeats,1981
701,A House Divided: War Between the States 1861-65,1981
2572,Quicksand,1981
1638,Archimedes,1981
1714,Moonstar,1981
4404,Gold!,1981
6598,Frogger,1981
1437,Trust Me,1981
1593,Down with the King,1981
6124,Waterloo: The Last Great Battle,1981
1619,The Roaring 20's,1981
3081,Rubik's Flip,1981
6087,Sicily '43: The Beginning of the End,1981
10651,Deflection,1981
6088,Rommel: The Last Glory in Kasserine,1981
3214,Avalon Hill Game Company's Game of Trivia,1981
2,Dragonmaster,1981
4358,The Guns of August,1981
7104,Ace of Aces: Powerhouse Series,1981
5361,Doubletrack,1981
1633,Spies!,1981
426,The Battle of the Bulge,1981
6731,Donkey Kong,1981
2925,The Dukes of Hazzard Game,1981
4560,Fast 111's,1981
1724,Bureaucracy,1981
6130,Wohrom: Swords and Magic Against Evil Forces,1981
6085,East & West: The Third Mondial War,1981
982,Amoeba Wars,1981
3649,Power Play,1981
2724,Apache: A Game of the Old West,1981
7586,An Enchanting Evening,1981
8471,Trenchfoot,1981
1423,Storm over Arnhem,1981
6949,Garfield,1981
5264,"Kanev: Parachutes Across the Dnepr, September 23-26, 1943",1981
5162,Chinese Chess,1981
7386,Wake Island,1981
2216,Vampyre,1981
6052,Yorktown: The Siege Which Determined the Birth of the United States,1981
2907,James Clavell's Tai-Pan,1981
8700,Empire (Third Edition),1981
22644,La Guerra Civil Española (1936),1981
6716,Star Wars: Yoda the Jedi Master,1981
2431,Bargain Hunter,1981
1693,Gladiator,1981
2746,Asteroid Pirates: A Game of Ship to Ship Combat in the Asteroid Belts,1981
16191,War II,1981
6615,Napoleon at Austerlitz,1981
11938,The Dukes of Hazzard Card Game,1981
67948,Mahjong Solitaire,1981
9947,The Smurf Game,1981
1557,Space Empires,1981
8307,Killer,1981
2919,Search for the Emperor's Treasure,1981
